person_id,full_name,title,company_name,decision,priority,reason,recommended_message_angle
3f9bd43e3d29,asher freilich,Managing Director and Founder,InstantScripts,PASS,1,Managing Director and Founder at InstantScripts — CEO/Founder at target company; ultimate decision-maker for new digital health partnerships.,digital-transformation
d23fb650bf2a,Lintyn Basha,"Head of Homecare, Health Prevention and Specialist Partnerships",Medibank,PASS,1,"Head of Homecare, Health Prevention and Specialist Partnerships at Medibank — directly owns health/preventive program design; strong FitXpress fit.",preventive-health
e03918b31d09,Lorraine Thomas,CEO & MD,HCF Australia,PASS,1,CEO & MD at HCF Australia — CEO/Founder at target company; ultimate decision-maker for new digital health partnerships.,preventive-health
b11071414cc1,Erin Gooey,"Head of Health, Safety and Wellbeing",Medibank,PASS,1,"Head of Health, Safety and Wellbeing at Medibank — directly owns health/preventive program design; strong FitXpress fit.",preventive-health
605ea73ca6c1,Sean Bluett,Global Group Executive Chairman,Medibank,PASS,1,Global Group Executive Chairman at Medibank — CEO/Founder at target company; ultimate decision-maker for new digital health partnerships.,digital-transformation
7d030f49c855,Nathan McLeod,Head of Wellbeing and Injury Management,Bupa Australia,PASS,1,Head of Wellbeing and Injury Management at Bupa Australia — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
6a61dfc94c73,Liz Sleeman,"Senior Executive, Group Clinical Governance",Medibank,PASS,1,"Senior Executive, Group Clinical Governance at Medibank — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.",clinical-operations
cc756111c4f4,Crystal P.,Head of Product,HCF Australia,PASS,1,Head of Product at HCF Australia — product leadership owns digital health tool strategy.,digital-transformation
88c4b882fa45,Built Varinporn Amporndanai,Medical Director InstantCosmetics,InstantScripts,PASS,1,Medical Director InstantCosmetics at InstantScripts — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
9e3872fd019d,Tushar Yadav,Medical Director,Mosh,PASS,1,Medical Director at Mosh — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
60589cf5c3c9,Aifric Boylan,Chief Executive Officer,Qoctor,PASS,1,Chief Executive Officer at Qoctor — CEO/Founder at target company; ultimate decision-maker for new digital health partnerships.,digital-transformation
56729be91d56,Melissa Ironside,Head of Customer,InstantScripts,PASS,1,Head of Customer at InstantScripts — customer experience leader; FitXpress value prop maps to member engagement KPIs.,member-engagement
4a37e9b1d067,Kieran Dang,Chief Medical Officer,Mosh,PASS,1,Chief Medical Officer at Mosh — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
6ca6caf30cf0,Margaret Canavan,Head of Customer Process Improvement,Medibank,PASS,1,Head of Customer Process Improvement at Medibank — customer experience leader; FitXpress value prop maps to member engagement KPIs.,member-engagement
edcbd19e871f,Andy Pavalache,VP of Customer,Mosh,PASS,1,VP of Customer at Mosh — customer experience leader; FitXpress value prop maps to member engagement KPIs.,member-engagement
e9705e5611f1,Sophie Dutton,Health Policy Manager,Medibank,PASS,1,Health Policy Manager at Medibank — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
06638733130c,Eadaoin Doherty,Head of Product - Ventures,Medibank,PASS,1,Head of Product - Ventures at Medibank — product leadership owns digital health tool strategy.,digital-transformation
7014a205aa1a,Andrew Carlson,Head of Customer channels,Medibank,PASS,1,Head of Customer channels at Medibank — customer experience leader; FitXpress value prop maps to member engagement KPIs.,member-engagement
b011e8ca13b6,Tara Houkamau,Head of Wellbeing Legal,Medibank,PASS,1,Head of Wellbeing Legal at Medibank — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
0f75093d2eb8,Gavin Harrison,Western Aust Medical Director,Medibank Health Solutions,PASS,1,Western Aust Medical Director at Medibank Health Solutions — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
6cdf7cbf680d,Yasmeen Farukh,Head of Connected Health Portfolio,Medibank,PASS,1,Head of Connected Health Portfolio at Medibank — directly owns health/preventive program design; strong FitXpress fit.,preventive-health
7a4986ef0dca,Alan Gormly,Regional Clinical Director,Medibank Health Solutions,PASS,1,Regional Clinical Director at Medibank Health Solutions — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
ba40660a6159,Kate McConnon,National Medical Director,Medibank Health Solutions,PASS,1,National Medical Director at Medibank Health Solutions — clinical/medical leadership role directly relevant to FitXpress telehealth and preventive health programs.,clinical-operations
f7e0bd83aba8,Kernow Craig,Head of Design Digital Transformation,Bupa Australia,PASS,2,Head of Design Digital Transformation at Bupa Australia — health-relevant senior role at target company; potential FitXpress champion.,digital-transformation
ec01927f9dd3,Nicholas Holden,Chief Marketing Officer,Mosh,PASS,2,Chief Marketing Officer at Mosh — senior executive at digital health company; broad decision-making scope.,member-engagement
ac117c2bb541,Glenn O'Sullivan,Chief Operating Officer,Mosh,PASS,2,Chief Operating Officer at Mosh — senior executive at digital health company; broad decision-making scope.,clinical-operations
b47ceb894d8a,Stephanie Sealy,"Head of Mental Health, Health Ventures",Medibank,PASS,2,"Head of Mental Health, Health Ventures at Medibank — health-relevant senior role at target company; potential FitXpress champion.",preventive-health
5ea5461ddf3c,Tom Bosna,Head of Operations | Workplace Health & Wellbeing. Ventures,Medibank,PASS,2,Head of Operations | Workplace Health & Wellbeing. Ventures at Medibank — health-relevant senior role at target company; potential FitXpress champion.,preventive-health
