first_name,last_name,company,title,linkedin_url,location,message_step1,message_step2,message_step3,message_step4
,,Medibank,Chief Strategy Officer,,,"Yash, member growth at Medibank — health insurers compete on retention, and retention hinges on members feeling their insurer actively invests in their health. A visual body tracking tool delivers that.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For Medibank, the member engagement opportunity with remote body measurement is twofold. First, it's a differentiation play — most Australian health insurers don't offer members a clinical-grade body scanning tool. Second, it's a retention play — members who track their health progress through Medibank build a switching cost that a competitor can't easily replicate. FitXpress delivers the experience: two photos from the member's phone, 45 seconds, a detailed 3D model with body composition data and side-by-side progress comparison. 96-97% accuracy vs manual measurements means the data is trustworthy. The 3D visualization means members actually use it. For Medibank: higher NPS, lower churn, and members who attribute their health journey to their insurer.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest.","Yash — one more on member engagement. FitXpress turns body measurement into a monthly member ritual: two photos, 3D progress model, body composition breakdown. 96-97% accuracy vs manual measurements, 45 seconds. For Medibank: NPS and retention through visible health progress. 15-minute walkthrough?","Yash — final one. If retention through member health tools becomes relevant for Medibank's strategy, reach out anytime."
,,HCF Australia,"General Manager, Digital and Data",,,"Janelle, you're driving digital transformation at HCF Australia. One thing most digital health stacks miss: verified body measurement without a clinic visit. That gap is fixable.","Appreciate the connection. I'm from 3DLOOK — we built FitXpress to turn two smartphone photos into verified body measurements and composition data in under a minute.
Here's why this matters for HCF Australia's digital transformation: verified body data is the clinical anchor that makes virtual health programs defensible. Without it, you're relying on member self-report — which introduces error and undermines program ROI measurement. FitXpress provides audit-ready body measurement data captured remotely. For a health insurer, that means you can prove that your digital wellness programs actually produce measurable physical outcomes — not just engagement metrics.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Janelle — quick thought. FitXpress turns body measurement into an API call: two photos in, 80+ measurements + body composition out. 96-97% accuracy vs manual measurements, HIPAA-compliant, integrates into any digital health stack. For HCF Australia: verified body data as a product feature. 15 minutes?","Janelle — leaving this here. If remote body measurement API integration ever becomes relevant for HCF Australia's product roadmap, I'm available."
,,Medibank,Head of Customer Insights and Experience Design,,,"Merryn, Medibank — member engagement isn't about more emails or app notifications. It's about giving members something they want to use. A 3D body scan that tracks their progress is exactly that.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
Here's the member engagement insight for Medibank: health insurance is a low-touch product. Most members interact with their insurer only when they're sick or when a bill arrives. FitXpress creates a positive, monthly touchpoint — a 45-second scan that shows members their health progress. The 3D model and body composition breakdown give members something they actually want to see. The progress timeline builds a health story that members associate with Medibank. This isn't gamification — it's clinical-grade body measurement that members use because the output is genuinely interesting and useful. For retention: members who scan monthly are members who renew.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Merryn — specifically on retention. Most insurers invest in acquisition, not in giving members a reason to stay. FitXpress is that reason: visual body progress tracking that members attribute to Medibank. 96-97% accuracy vs manual measurements, 45 seconds. 15 minutes?","Merryn — leaving this here. If remote body measurement as a member retention tool ever becomes relevant at Medibank, I'm available."
,,Bupa Australia,Head of Health Insights,,,"Jean, Bupa Australia — members join health programs with good intentions, then drop off. Remote body scanning with visual progress changes that dynamic.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
Here's the preventive health insight: members who see their progress stay enrolled. Members who only see a number on a scale drop out. FitXpress delivers that visual progress layer — two photos every 30 days, a 3D model that shows body composition changes that a scale can't capture (fat loss, muscle gain, measurement changes across 80+ data points). For Bupa Australia's wellness programs, this means higher completion rates, better health outcomes, and members who attribute their progress directly to their insurer — strengthening retention and NPS.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Jean — one more. Members who see their body changing are members who stay. FitXpress gives Bupa Australia members a visual health tracking tool they'll use monthly. 96-97% accuracy vs manual measurements, 45 seconds. For preventive health programs: retention through visible results. 15-minute walkthrough?","Jean — leaving this here. If verified body progress tracking for Bupa Australia members ever becomes relevant, I'm available."
,,HCF Australia,"Chief Officer, Member Growth",,,"David, HCF Australia growth strategy — the most undervalued retention tool in health insurance: giving members visible proof that their health is improving. FitXpress delivers that proof.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For HCF Australia's member engagement strategy, the retention math is simple: members who actively use their insurer's health tools are significantly less likely to switch. The challenge is giving them tools they'll actually use — not another generic wellness app. FitXpress fills that gap with something genuinely compelling: a 3D body scan from two photos that shows members exactly how their body is changing over time. Body fat percentage going down, lean mass going up, measurements shifting across 80+ data points — all visualized side by side with their previous scan. Yazen, a European weight loss platform, ran 34,000 scans in 2025. Their patients scan every 30 days, and the side-by-side 3D visualization is their #1 retention feature.","David — specifically on retention. Most insurers invest in acquisition, not in giving members a reason to stay. FitXpress is that reason: visual body progress tracking that members attribute to HCF Australia. 96-97% accuracy vs manual measurements, 45 seconds. 15 minutes?","David — won't keep going. If member engagement through verified body progress tracking comes up at HCF Australia, happy to show how it works."
,,Medibank,Group Lead - Chief Customer Officer,,,"Milosh, member growth at Medibank — health insurers compete on retention, and retention hinges on members feeling their insurer actively invests in their health. A visual body tracking tool delivers that.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
Here's what matters for Medibank's member experience: health insurers spend millions on acquisition but comparatively little on giving members a reason to stay. FitXpress changes that equation. It gives members a monthly health ritual — a 45-second body scan that shows real, measurable progress. The 3D model lets members see changes that a scale can't capture: body recomposition, measurement reductions, posture improvements. The body composition data gives them clinical-grade metrics they'd normally only get from a DEXA scan or professional assessment. For Medibank members: a health tracking experience that feels premium, personal, and worth staying for. 96-97% accuracy vs manual measurements, 95%+ repeatability across scans.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing.","Milosh — a retention perspective. The members who stay are the ones who feel their insurer invested in their health. FitXpress gives Medibank members a body scanning tool they'll use monthly: 3D model, progress visualization, body composition. Yazen's #1 retention feature. For Medibank: measurable retention lift. 15 minutes to see the member experience?","Milosh — leaving this here. If remote body measurement as a member retention tool ever becomes relevant at Medibank, I'm available."
,,Medibank,Head of Health Advisory,,,"Aarti, Medibank wellness strategy — member engagement is the metric that matters. Remote body measurement with progress visualization turns a clinical task into a member experience.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For Medibank, the preventive health opportunity is turning wellness programs from a cost center into a retention engine. Members who actively track their health progress are less likely to switch insurers. The challenge is giving them tracking tools they'll actually use. FitXpress delivers that: two photos, 45 seconds, a detailed 3D model with body composition breakdown. 96-97% accuracy vs manual measurements means the data is trustworthy. The visual progress comparison means members stay engaged month after month. For a health insurer, that's measurable ROI: higher program completion rates, lower churn among wellness participants, and stronger NPS from members who feel their insurer invested in their health.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing.","Aarti — specifically on member retention. FitXpress turns body measurement into an engagement feature: 3D progress visualization that members actually look forward to. 96-97% accuracy vs manual measurements, 45 seconds from their phone. For Medibank health programs: a retention tool disguised as a member benefit. 15 minutes?","Aarti — leaving this here. If verified body progress tracking for Medibank members ever becomes relevant, I'm available."
,,Bupa Australia,Head of Healthcare Programs,,,"Lucy, at Bupa Australia you're shaping how members engage with their health. The missing tool: remote body measurement that shows real, measurable progress — not just steps and calories.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
Here's the preventive health insight: members who see their progress stay enrolled. Members who only see a number on a scale drop out. FitXpress delivers that visual progress layer — two photos every 30 days, a 3D model that shows body composition changes that a scale can't capture (fat loss, muscle gain, measurement changes across 80+ data points). For Bupa Australia's wellness programs, this means higher completion rates, better health outcomes, and members who attribute their progress directly to their insurer — strengthening retention and NPS.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Lucy — specifically on member retention. FitXpress turns body measurement into an engagement feature: 3D progress visualization that members actually look forward to. 96-97% accuracy vs manual measurements, 45 seconds from their phone. For Bupa Australia health programs: a retention tool disguised as a member benefit. 15 minutes?","Lucy — won't keep going. If member engagement through body progress tracking comes up at Bupa Australia, happy to show the member experience."
,,Medibank,Head of Competitive and Market Insights,,,"Peter, health programs at Medibank — preventive care lives or dies on member engagement. Verified body progress tracking gives members a reason to stay in the program.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For Medibank, the preventive health opportunity is turning wellness programs from a cost center into a retention engine. Members who actively track their health progress are less likely to switch insurers. The challenge is giving them tracking tools they'll actually use. FitXpress delivers that: two photos, 45 seconds, a detailed 3D model with body composition breakdown. 96-97% accuracy vs manual measurements means the data is trustworthy. The visual progress comparison means members stay engaged month after month. For a health insurer, that's measurable ROI: higher program completion rates, lower churn among wellness participants, and stronger NPS from members who feel their insurer invested in their health.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing.","Peter — specifically on member retention. FitXpress turns body measurement into an engagement feature: 3D progress visualization that members actually look forward to. 96-97% accuracy vs manual measurements, 45 seconds from their phone. For Medibank health programs: a retention tool disguised as a member benefit. 10 minutes?","Peter — leaving this here. If verified body progress tracking for Medibank members ever becomes relevant, I'm available."
,,HCF Australia,Acting GM RT Health (Division of HCF),,,"Erin, HCF Australia wellness strategy — member engagement is the metric that matters. Remote body measurement with progress visualization turns a clinical task into a member experience.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For HCF Australia's member health programs, the missing piece is objective progress data that members can see and trust. Self-reported weight is unreliable. Gym check-ins track attendance, not outcomes. FitXpress provides verified body measurement that captures actual physical change: body fat percentage trends, lean mass changes, measurement reductions across 80+ data points. The 3D model with side-by-side comparison gives members an undeniable view of their progress. This isn't gamification — it's clinical-grade measurement presented in a way that drives sustained engagement. 96-97% accuracy vs manual measurements, 95%+ repeatability across scans.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Erin — one more. Members who see their body changing are members who stay. FitXpress gives HCF Australia members a visual health tracking tool they'll use monthly. 96-97% accuracy vs manual measurements, 45 seconds. For preventive health programs: retention through visible results. 15-minute walkthrough?","Erin — last note. If adding visual progress tracking to HCF Australia's member health programs ever becomes a priority, I'm available."
,,Bupa Australia,Medical Director - BUPA Medical,,,"Dr, Bupa Australia digital health roadmap — the shift to virtual care is real. But body measurement data is still manual. A 45-second remote scan fills that gap.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
For Bupa Australia's product roadmap, remote body measurement fills a specific gap in the digital health experience. Members enrolled in wellness programs, weight management, or post-surgical recovery need regular body measurement data — but current options are either clinic visits (low compliance) or self-report (low accuracy). FitXpress delivers 96-97% accuracy vs manual measurements from two photos, with full body composition including body fat percentage and lean mass. The data flows via API into whatever system Bupa Australia uses to track member health outcomes.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Dr — specifically on the measurement gap. Bupa Australia has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","Dr — final one. If the body measurement gap in Bupa Australia's digital health experience becomes a priority, reach out anytime."
,,Mosh,Chief Marketing Officer,,,"Nicholas, at Mosh you know retention is the growth lever in health insurance. The members who stay are the ones who feel their health improved because of their platform. Remote body scanning makes that connection tangible.","Thanks for connecting. I'm from 3DLOOK — FitXpress captures 80+ body measurements, body composition, and a 3D body model from two smartphone photos in 45 seconds.
For Mosh, the member engagement opportunity with remote body measurement is twofold. First, it's a differentiation play — most Australian digital health companies don't offer members a clinical-grade body scanning tool. Second, it's a retention play — members who track their health progress through Mosh build a switching cost that a competitor can't easily replicate. FitXpress delivers the experience: two photos from the member's phone, 45 seconds, a detailed 3D model with body composition data and side-by-side progress comparison. 96-97% accuracy vs manual measurements means the data is trustworthy. The 3D visualization means members actually use it. For Mosh: higher NPS, lower churn, and members who attribute their health journey to their platform.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest.","Nicholas — one more on member engagement. FitXpress turns body measurement into a monthly member ritual: two photos, 3D progress model, body composition breakdown. 96-97% accuracy vs manual measurements, 45 seconds. For Mosh: NPS and retention through visible health progress. 15-minute walkthrough?","Nicholas — last note. If giving Mosh members a body scanning tool that drives retention ever becomes a priority, I'm available."
,,Bupa Australia,Head of Strategy and Delivery ANZ,,,"Mads, Bupa Australia member experience — members who actively track their health through their insurer stay longer and cost less. A remote body scan that shows progress visually is the engagement tool most insurers don't have yet.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
For Bupa Australia, the member engagement opportunity with remote body measurement is twofold. First, it's a differentiation play — most Australian health insurers don't offer members a clinical-grade body scanning tool. Second, it's a retention play — members who track their health progress through Bupa Australia build a switching cost that a competitor can't easily replicate. FitXpress delivers the experience: two photos from the member's phone, 45 seconds, a detailed 3D model with body composition data and side-by-side progress comparison. 96-97% accuracy vs manual measurements means the data is trustworthy. The 3D visualization means members actually use it. For Bupa Australia: higher NPS, lower churn, and members who attribute their health journey to their insurer.","Mads — specifically on retention. Most insurers invest in acquisition, not in giving members a reason to stay. FitXpress is that reason: visual body progress tracking that members attribute to Bupa Australia. 96-97% accuracy vs manual measurements, 45 seconds. 10 minutes?","Mads — final one. If retention through member health tools becomes relevant for Bupa Australia's strategy, reach out anytime."
,,Mosh,Creative Director,,,"Jonno, at Mosh you know retention is the growth lever in health insurance. The members who stay are the ones who feel their health improved because of their platform. Remote body scanning makes that connection tangible.","Thanks for accepting. I'm from 3DLOOK — FitXpress captures clinical-grade body measurements (80+ metrics + body composition) from two smartphone photos in 45 seconds.
Here's the member engagement insight for Mosh: health insurance is a low-touch product. Most members interact with their platform only when they're sick or when a bill arrives. FitXpress creates a positive, monthly touchpoint — a 45-second scan that shows members their health progress. The 3D model and body composition breakdown give members something they actually want to see. The progress timeline builds a health story that members associate with Mosh. This isn't gamification — it's clinical-grade body measurement that members use because the output is genuinely interesting and useful. For retention: members who scan monthly are members who renew.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Jonno — specifically on retention. Most platforms invest in acquisition, not in giving members a reason to stay. FitXpress is that reason: visual body progress tracking that members attribute to Mosh. 96-97% accuracy vs manual measurements, 45 seconds. 10 minutes?","Jonno — last note. If giving Mosh members a body scanning tool that drives retention ever becomes a priority, I'm available."
,,HCF Australia,"Director, HCF Life",,,"Tim, product strategy at HCF Australia — members expect digital-first everything. Body measurement is the clinical data point that's still analog. Remote capture solves that.","Good to connect. Quick context: I'm from 3DLOOK — FitXpress generates 80+ verified body measurements and composition data from two photos, delivered via API.
For a health insurer at HCF Australia's scale, the digital health stack needs three things: member-facing tools that drive engagement, clinical data that's regulator-ready, and integration that doesn't add operational overhead. FitXpress checks all three. Members scan in 45 seconds from their phone and get a 3D model with side-by-side progress visualization — that's the engagement layer. The backend delivers verified measurements with 96-97% accuracy vs manual measurements and an audit trail — that's the compliance layer. The whole thing integrates via API — that's the operational layer.
HIPAA-compliant, GDPR-aligned, TLS encryption, SSE-S3 at rest. Photos deleted post-processing. Zero personal identifiers — body data only.","Tim — specifically on the measurement gap. HCF Australia has the digital infrastructure. What's missing is remote body measurement that's accurate enough for clinical use and simple enough for member adoption. FitXpress delivers both: 96-97% accuracy vs manual measurements, 45 seconds. 15-minute demo?","Tim — final one. If the body measurement gap in HCF Australia's digital health experience becomes a priority, reach out anytime."
