#,company_name,website,hq_city,hq_country,segment,app_first,subscription_model,progress_tracking_today,icp_fit,fit_rationale,flags,verification,source_url,http_status,evidence_title,evidence_app_store,evidence_subscription,evidence_geo,evidence_registered_office,checked_at,routed_to_profile,routed_reason
17,Noom UK,https://www.noom.com/,New York,USA,Behaviour-change weight app,Yes (iOS/Android),Yes (monthly),Self-reported weight and habit logging,Exclude,Named explicitly as an anti-case in the approved hypothesis because product decisions sit in New York,anti-case + geo: route to `nick` (USA),blocked:no-title-js-shell,https://www.noom.com/,200,,,,,,2026-09-02T16:34:49Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
18,WeightWatchers UK,https://www.weightwatchers.com/uk/,New York (US parent),USA,Weight management programme,Yes (WW app),Yes (monthly),Weekly weigh-in and app tracking,Exclude,"US-HQ decision-making, and the parent filed Chapter 11 in May 2025, while the UK clinical route already runs through CheqUp",anti-case + geo + viability,verified-live,https://www.weightwatchers.com/uk,200,Weight-Loss Program: Lose Weight. Gain Health | WeightWatchers,ios+android,monthly; per week; plan,United Kingdom,,2026-09-02T16:34:49Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
19,Anytime Fitness UK,https://www.anytimefitness.co.uk/,Woodbury MN (brand owner),USA,Franchised gym chain,Partial,Yes (monthly membership),Varies by franchisee,Low,"Franchise model with the brand owner in Minnesota, so there is no single UK product buyer and each club decides for itself",geo + no central UK buyer,blocked:no-title-js-shell,https://www.anytimefitness.com/en-gb,200,,,,,,2026-09-02T16:34:49Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
20,Snap Fitness UK,https://www.snapfitness.co.uk/,Minneapolis (brand owner),USA,Franchised gym chain,Partial,Yes (monthly membership),Varies by franchisee,Low,Same franchise structure under Lift Brands with no central UK product decision-maker,geo + no central UK buyer,verified-live,https://www.snapfitness.com/uk,200,Snap Fitness UK | 24/7 Gyms - Health Clubs - Fitness Centers,ios+android,a month; monthly; plan,,,2026-09-02T16:34:49Z,nick,"HQ 'USA' belongs to `nick`, campaign runs `katerina`"
21,Origym,https://origympersonaltrainercourses.co.uk/,Liverpool,England,Personal trainer education,No,No (course fees),None,Low,"UK-HQ but they qualify trainers rather than run a member progress loop, which makes this a channel partnership at best",use-case: not a buyer for an embedded scan,verified-live,https://www.origym.co.uk/,200,Fitness Courses & Qualifications | OriGym,none-on-homepage,monthly; plan,England; London; Scotland; Wales,Company Number 09599908,2026-09-02T16:34:49Z,,fit=low — below the High/Medium bar
22,MyPossibleSelf,https://www.mypossibleself.com/,London,England,Mental health app,Yes (iOS/Android),Yes (subscription),Mood and habit tracking,Low,UK geo and app-first but the product has no body-measurement moment,use-case: mental health has no body data surface,verified-live,https://www.mypossibleself.com/,200,My Possible Self: The Mental Health App,ios+android,,London,,2026-09-02T16:34:49Z,,fit=low — below the High/Medium bar
23,Advanced Appetite,,Unknown,Unknown,Diet pill / gummy supplement brand,No,No,None,Exclude,"Affiliate-marketed supplement brand with no verifiable operating company, product team or LinkedIn presence to run a campaign against",viability: recommend removal from the list,unverified-no-website,,,,,,,,2026-09-02T16:34:50Z,,fit=exclude — below the High/Medium bar
24,PhenQ,https://phenq.com/,Glasgow,Scotland,Diet pill supplement brand,No,Partial (repeat purchase),None,Exclude,"Marketed by Wolfson Brands, which is Scotland-HQ and therefore outside the England filter, and the affiliate supplement model has no app or patient surface",anti-case (Scotland) + use-case,verified-live,https://phenq.com/,200,PhenQ Official Store: Weight Loss Treatment – PhenQ (USA),none-on-homepage,a month; subscription; per week; plan,United Kingdom; Scotland; United States; USA,,2026-09-02T16:34:50Z,,fit=exclude — below the High/Medium bar
25,Bupa Global,https://www.bupaglobal.com/,London,England,International private medical insurance,Partial,Yes (insurance premium),Health assessments,Route elsewhere,"A real 3DLOOK ICP under the health plans and insurance segments, but insurer-funded B2B2C is an explicit anti-case in this hypothesis with a different buyer and a different proof burden",anti-case: needs its own hypothesis,verified-live,https://www.bupaglobal.com/en,200,Premium international private healthcare | Bupa Global,none-on-homepage,plan,United Kingdom,registered address,2026-09-02T16:34:50Z,,fit=route elsewhere — below the High/Medium bar
26,Aetna UK,https://www.aetnainternational.com/,Farnborough,England (US parent),International private medical insurance,Partial,Yes (insurance premium),Health assessments,Route elsewhere,Same insurer anti-case and the parent is CVS Health in the US so UK product authority is unclear,anti-case + geo: needs its own hypothesis,verified-live,https://www.aetnainternational.com/,200,Home | Aetna,none-on-homepage,plan,,,2026-09-02T16:34:50Z,,fit=route elsewhere — below the High/Medium bar
