person_id,full_name,title,company_name,linkedin_url,decision,priority,reason,recommended_message_angle
32,Tim Thorne,"Director, HCF Life",HCF Australia,https://au.linkedin.com/in/timjohnthorne,WEAK,,Life-insurance product director — insurer but not digital-health/weight program,digital-health-strategy
33,Ian Maytom,"General Manager, Hospital & Medical",HCF Australia,https://au.linkedin.com/in/ian-maytom-b44aab20,PASS,2,GM Hospital & Medical — clinical-program operating leader fit,clinical-operations
34,Gerard Dalbosco,Non Executive Director,Medibank,https://au.linkedin.com/in/gerard-dalbosco,FAIL,,"Non-Executive Director — board role, not an operational buyer",
35,Glenn McPhee,"Managing Director, Government Services",Bupa Australia,https://au.linkedin.com/in/glennmcphee,WEAK,,"MD Government Services — senior but government-contract line, unclear program fit",digital-health-strategy
36,Lesley Brinckley,Head of IT Risk and Governance,HCF Australia,https://au.linkedin.com/in/lesley-brinckley-2123014,FAIL,,"IT risk and governance, not a product/clinical decision-maker",
37,David Lochrie,Digital Director - Transformation,Bupa Australia,https://www.linkedin.com/in/david-lochrie-512a191/,PASS,2,Digital Transformation Director — owns digital roadmap for new body-data workflows,digital-health-strategy
38,Glenn O'Sullivan,Chief Operating Officer,Mosh,https://au.linkedin.com/in/glennosullivan,PASS,1,COO at weight-loss telehealth — ICP operations buyer for scalable remote intake,operational-scale
39,Stephanie Sealy,"Head of Mental Health, Health Ventures",Medibank,https://au.linkedin.com/in/stephaniesealy,WEAK,,"Ventures role but mental-health focus, not weight/body-composition programs",digital-health-strategy
40,Christian Panariello,Head of Growth,Bupa Australia,https://au.linkedin.com/in/christian-panariello-aa555530,PASS,2,Head of Growth — ICP acquisition/retention buyer for engagement differentiation,member-retention
41,Jonathan Goh,Head of Marketing Technology and Orchestration,Medibank,https://au.linkedin.com/in/jongoh12,FAIL,,"Marketing-technology/orchestration, not a digital-health/clinical buyer",
42,Aleks Devic,Head of External Communications,Bupa Australia,https://au.linkedin.com/in/aleks-devic-78323155,FAIL,,"External communications, not a product/clinical/operations buyer",
43,Michelle Karolik,Head of Customer Engagement,Bupa Australia,https://au.linkedin.com/in/michelle-karolik-7279843,PASS,2,Head of Customer Engagement — ICP retention buyer for visible member progress,member-retention
44,Joanne Casha,Head of Corporate Partnerships,Bupa Australia,https://au.linkedin.com/in/joanne-casha-40992bb0,WEAK,,"Corporate partnerships role — adjacent, not a direct program/clinical buyer",member-retention
45,Robert Ashmore,Head of Business Insights,HCF Australia,https://au.linkedin.com/in/robashmoresydney,FAIL,,"Business insights/analytics, not a digital-health or clinical buyer",
46,Chris Leech,Head of Data Governance,Medibank,https://au.linkedin.com/in/chris-leech-259a4216,FAIL,,"Data-governance function, not a product/clinical decision-maker",
47,Andrew Wilkinson,"Director, Domestic Portfolio APAC (aka Chief Customer Officer)",Bupa Australia,https://au.linkedin.com/in/andrew-wilkinson-1a8b513a,PASS,1,Effective Chief Customer Officer APAC — top ICP member-experience decision-maker,member-retention
48,René Cunningham,"General Manager - Growth, Government Services",Bupa Australia,https://www.linkedin.com/in/renecunningham1/,WEAK,,Growth GM but government-services line — unclear digital-health program fit,member-retention
49,Tony Johnson,Chair,Bupa Australia,https://au.linkedin.com/in/tonyjjohnson,FAIL,,"Board Chair — governance role, not an operational buyer",
50,Linda Opie,Head of Health and Wellbeing,HCF Australia,https://au.linkedin.com/in/warren-opie-b3aab535,PASS,2,Head of Health and Wellbeing — ICP wellness-program owner for remote verification,wellness-programs
51,Tom Bosna,Head of Operations | Workplace Health & Wellbeing. Ventures,Medibank,https://au.linkedin.com/in/tombosna,PASS,2,Runs Workplace Health & Wellbeing ventures ops — wellness-program buyer fit,wellness-programs
52,Cameron McCafferty,Squad Lead / Head of Technology - Architecture,Medibank,https://au.linkedin.com/in/cameron-mccafferty-4131511,WEAK,,Technology architecture lead at a FitXpress-segment insurer — possible technical champion,technical-integration
53,Pauline Smyth,"Head of Virtual Health, Amplar Health",Medibank,https://au.linkedin.com/in/pauline-smyth-54b4374,PASS,1,Head of Virtual Health (Amplar) — direct ICP buyer for remote body data in virtual care,clinical-operations
54,Carl James,"Chief Operating Officer Dental, Optical & Hearing",Bupa Australia,https://au.linkedin.com/in/carl-james-ab91129,WEAK,,"COO but dental/optical/hearing line, not weight/body-composition programs",operational-scale
55,Maunish Patel,Head of Security Engineering,Medibank,https://uk.linkedin.com/in/mahuel,FAIL,,"Security engineering — infrastructure, not a product/clinical buyer",
56,Jamie Hempenstall,Head of Procurement - Category Management,Medibank,https://au.linkedin.com/in/jamie-hempenstall-093257b1,FAIL,,"Procurement role, not a digital-health/clinical decision-maker",
57,Stuart Robbins,Head of Property and Procurement,HCF Australia,https://au.linkedin.com/in/stuart-robbins-1056849,FAIL,,"Property and procurement, not a product/clinical buyer",
58,Jennifer Vo-Phuoc,Head of Health Policy,Medibank,https://www.linkedin.com/in/jennifer-vo-phuoc-6b1b5113/,WEAK,,Health-policy lead — influences programs but not a direct product/clinical buyer,digital-health-strategy
59,Annie M.,"Manager, Health Policy",Medibank,https://au.linkedin.com/in/anniemakar,FAIL,,"Health-policy manager — below buyer seniority, policy not program authority",
60,Michelle Urquhart,Head of Employee Communications,Medibank,https://au.linkedin.com/in/michellea-urquhart,FAIL,,"Internal/employee communications, not a digital-health/clinical buyer",
61,David Koczkar,Chief Executive Officer,Medibank,https://au.linkedin.com/in/davidkoczkar,PASS,1,Group CEO of Medibank — top executive sponsor for digital-health outcomes,executive-outcomes
62,Liz Green,Head of Content & Campaigns,Medibank,https://au.linkedin.com/in/lizgreenb,FAIL,,"Content and campaigns, not a product/clinical/operations buyer",
63,Sarah Trainor,Head of Overseas Partnerships and Sales,Medibank,https://au.linkedin.com/in/sarah-trainor-a7206a10,FAIL,,"Overseas partnerships/sales, not a digital-health/clinical buyer",
64,Pamela Zaldarriaga,Engagement and Support Coordinator,Bupa Australia,https://au.linkedin.com/in/pamela-zaldarriaga,FAIL,,"Support coordinator — junior, no program decision authority",
65,Alexander Godfrey,"Partner - Digital, Data, & AI Risk | Technology APAC",Bupa Australia,https://au.linkedin.com/in/alexandergodfrey,WEAK,,"Digital/AI-risk technology partner — possible technical evaluator, risk-oriented",technical-integration
66,Cameron Towt,Head of Data and AI Governance,Bupa Australia,https://au.linkedin.com/in/camerontowt,FAIL,,"Data and AI governance, not a product/clinical decision-maker",
67,Mark Rogers,"Group Executive, Chief Financial Officer & Group Strategy",Medibank,https://au.linkedin.com/in/mark-rogers-78058b20b,FAIL,,"CFO-led role — finance owner, not a digital-health/clinical program buyer",
68,Morgan Chen,"Technical Director, Cybersecurity & Data Resilience",HCF Australia,https://au.linkedin.com/in/morgan-chen-80967135,FAIL,,"Cybersecurity technical director — infrastructure/security, not a product buyer",
69,Andrew Wilson,Group Chief Medical Officer,Medibank,https://au.linkedin.com/in/andrew-wilson-37b579a1,PASS,1,Group Chief Medical Officer — top ICP clinical buyer for verified body metrics,clinical-operations
70,Paul Berghofer,Head of Hospital Commercial Partnerships,Medibank,https://au.linkedin.com/in/paul-berghofer-892399a4,WEAK,,"Hospital commercial partnerships — adjacent commercial role, not a program buyer",digital-health-strategy
71,Anton Eksteen,Head of Networks and Reliability Engineering,HCF Australia,https://au.linkedin.com/in/anton-eksteen,FAIL,,"Network/reliability engineering — pure infrastructure, FAIL per IT policy",
72,Rima Dagher,Victorian Branch Manager,HCF Australia,https://au.linkedin.com/in/rima-dagher,FAIL,,"Branch manager — retail operations, not a digital-health/clinical buyer",
73,Antony Ugoni,Chief Data Scientist,HCF Australia,https://au.linkedin.com/in/antonyugoni,FAIL,,"Data science lead — analytics, not a product/clinical purchasing role",
74,Mark Compton,Non Executive Director,HCF Australia,https://au.linkedin.com/in/mark-compton-3151005,FAIL,,"Non-Executive Director — board role, not an operational buyer",
75,Felicia Trewin,Group Lead - Data & Technology | CIO,Medibank,https://au.linkedin.com/in/feliciatrewin,PASS,3,CIO at a FitXpress-segment insurer — C-suite technical entry point who can open doors,technical-integration
76,David Hill,Chief Financial Officer,Mosh,https://au.linkedin.com/in/davidaehill,FAIL,,"CFO at Mosh — finance owner, not a product/clinical/growth buyer",
77,Wael Hanna,Co-Founder,Medmate,https://au.linkedin.com/in/wael-hanna-9a555a50,PASS,1,Co-Founder of a telehealth/prescription platform — top ICP founder buyer,executive-outcomes
78,Hayley Y.,Finance Business Partner - Technology & Digital,Bupa Australia,https://au.linkedin.com/in/hayleycarr,FAIL,,"Finance business partner, not a product/clinical decision-maker",
79,James McDonald,Head of Telehealth Operations,Bupa Australia,https://au.linkedin.com/in/jamesrmcdonald,PASS,1,Head of Telehealth Operations — exact ICP buyer for remote body-data workflows,clinical-operations
80,Deleine G.,Head of International Direct,Bupa Australia,https://au.linkedin.com/in/deleine-g-b0517a32,WEAK,,"International direct (sales/distribution) — adjacent, not a program/clinical buyer",member-retention
81,Saskia T.,Senior Business Partner - People and Culture,HCF Australia,https://au.linkedin.com/in/saskiathurlow,FAIL,,"HR/People and Culture, not a digital-health/clinical buyer",
82,Santhana Gopalan Narayanaswamy,Head of Health Technology Platforms and Services (Amplar Health),Medibank,https://au.linkedin.com/in/santhananarayanaswamy,PASS,2,Head of Health Technology Platforms (Amplar) — owns platforms for API/SDK integration,product-integration
83,Dean Italia,Head of Investments APAC,Bupa Australia,https://au.linkedin.com/in/dean-italia-b63a3111,FAIL,,"Investments, not a digital-health/clinical/product buyer",
84,Philip Mackney,Co-Founder,Hopstep,https://www.linkedin.com/in/philip-mackney-a350a450/,WEAK,,Founder but healthcare-workforce/recruitment platform — borderline company fit,digital-health-strategy
85,Saurabh Mehta,Head of Business Analysis and Quality Engineering,HCF Australia,https://au.linkedin.com/in/saurabhpmehta,FAIL,,"Business analysis/QA engineering — not a product/clinical buyer, FAIL per IT policy",
86,Martin Brown,Experience Design Manager,Bupa Australia,https://au.linkedin.com/in/martin-brown-9b39a514,FAIL,,"Experience-design manager — design role, excluded per hypothesis",
87,Suren Wickramasinghe,Chief Technology Officer,Mosh,https://au.linkedin.com/in/suren-wickramasinghe-ab5917b,PASS,2,CTO at weight-loss telehealth — ICP technical buyer for API/SDK integration,product-integration
88,Josh Lambert,Head of Business Development - Digital Health & Ventures,Medibank,https://au.linkedin.com/in/josh-lambert-8460554b,PASS,2,Head of BD Digital Health & Ventures — sources new digital-health capabilities,digital-health-strategy
89,Nishan Rudrakumar,"Head of Digital, Financial Products",Medibank,https://au.linkedin.com/in/nishan-rudrakumar,FAIL,,"Digital lead but financial-products line, not health/clinical programs",
90,AJIT JOSHI,Head of Technology Strategy Development,HCF Australia,https://au.linkedin.com/in/ajit-joshi-b3b1341,WEAK,,Technology-strategy lead at a FitXpress-segment insurer — possible technical champion,technical-integration
91,Olivia Wardlaw,Head of Data & Technology Governance Performance Transformation,Medibank,https://www.linkedin.com/in/olivia-wardlaw-312848150/,FAIL,,"Data/technology governance, not a product/clinical buyer",
92,Greg Baster,Chief Information Officer,HCF Australia,https://au.linkedin.com/in/gregbaster,PASS,3,CIO at a FitXpress-segment insurer — C-suite technical entry point per IT policy,technical-integration
93,asher freilich,Managing Director and Founder,InstantScripts,https://au.linkedin.com/in/asher-freilich-0a36a773,PASS,1,Founder/MD of a telehealth/eScripts platform — top ICP founder buyer,executive-outcomes
94,Amy Dougherty,"Head of Performance, Insight & Reporting",Bupa Australia,https://au.linkedin.com/in/amy-dougherty-5b486b23,FAIL,,"Performance/reporting analytics, not a digital-health or clinical buyer",
95,Soumya Nair,Head of Technology-Healthcare( Bupa Villages & Aged Care),Bupa Australia,https://au.linkedin.com/in/soumya-nair04,WEAK,,"Healthcare technology lead but aged-care line — possible technical champion, wrong program",technical-integration
96,Anna Speranza,"Strategic People Partner, Health Insurance",Bupa Australia,https://au.linkedin.com/in/anna-speranza-3361293,FAIL,,"HR/People partner, not a digital-health/clinical buyer",
97,Melissa Dodge,Leadership Development Consultant,Medibank,https://au.linkedin.com/in/melissa-dodge,FAIL,,"Leadership-development/L&D, not a product/clinical buyer",
98,Lintyn Basha,"Head of Homecare, Health Prevention and Specialist Partnerships",Medibank,https://au.linkedin.com/in/lintyn-basha-837101141,PASS,2,Leads homecare/health-prevention — clinical-program owner fit for remote body data,clinical-operations
99,Nicola Piteo,Head of Strategic Workforce Programs,Bupa Australia,https://au.linkedin.com/in/nicola-piteo-1bb3b127,FAIL,,"Workforce programs — internal HR/workforce, not a digital-health buyer",
100,Ezra Israel,General Manager,Bupa Australia,https://au.linkedin.com/in/ezra-israel,WEAK,,"Generic General Manager — scope unclear, needs Vadim judgment",digital-health-strategy
101,Andrew Galbraith,Risk Business Partner | Customer Channels and Growth (CCG),Bupa Australia,https://www.linkedin.com/in/andrew-galbraith-8a175590/,FAIL,,"Risk business partner, not a product/clinical/growth buyer",
102,Tom Robinson,Head of Innovation,HCF Australia,https://au.linkedin.com/in/tomrobbo,PASS,2,Head of Innovation — ICP innovation buyer for new member-engagement tools,digital-health-strategy
103,Briony Cliffe,Head of Marketing - Customer,Bupa Australia,https://au.linkedin.com/in/brionycliffe,WEAK,,Customer marketing lead — borderline; marketing influence but not a program buyer,member-retention
104,Daryn Wedd,"Hub Lead, IT Security and Networks / CISO",Medibank,https://au.linkedin.com/in/daryn-wedd-a962162,FAIL,,"CISO/IT security — infrastructure, not a product/clinical buyer",
105,Daniel Cogan,Head of Workforce Transformation,Medibank,https://au.linkedin.com/in/danielrcogan,FAIL,,"Workforce transformation — internal HR/ops, not a digital-health buyer",
106,Gustavo Giudice,General Manager / National Sapphire Services Manager,Bupa Australia,https://au.linkedin.com/in/gustavo-giudice,WEAK,,Services GM — operating role but unclear digital-health/clinical program fit,operational-scale
107,Benson Low,Head of Design Capabilities,Bupa Australia,https://au.linkedin.com/in/bensonlow,FAIL,,"Design capabilities — design role, excluded per hypothesis",
108,"Daniel Zocco, CPA",Finance Business Partner- Technology,Bupa Australia,https://www.linkedin.com/in/daniel-zocco-cpa-22a78397/,FAIL,,"Finance business partner, not a product/clinical buyer",
109,Lorraine Thomas,CEO & MD,HCF Australia,https://au.linkedin.com/in/lorraine-thomas,PASS,1,CEO & MD of HCF — top executive sponsor for digital-health outcomes,executive-outcomes
110,Erin Gooey,"Head of Health, Safety and Wellbeing",Medibank,https://au.linkedin.com/in/erin-gooey-bb5b3a60,WEAK,,"Internal HSW/employee wellbeing — occupational focus, not member programs",wellness-programs
111,Aaron Green,"National Property Manager, Group Property",Medibank Private,https://au.linkedin.com/in/aaron-green-a861289,FAIL,,,
112,Binnu Verma,Head of Digital Analytics,HCF Australia,https://au.linkedin.com/in/binnu-verma-b090223b,WEAK,,Title has ICP signal but function is analytics/insights/design — influence without clear buying authority,product-integration
113,Shaun Nicholls,General Manager,Bupa Australia,https://au.linkedin.com/in/shaun-nicholls-363ab05b,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
114,Sean Bluett,Global Group Executive Chairman,Medibank,https://au.linkedin.com/in/sean-bluett-63bb5211,FAIL,,,
115,Nathan McLeod,Head of Wellbeing and Injury Management,Bupa Australia,https://au.linkedin.com/in/nathan-mcleod,PASS,2,ICP title match — decision-maker in relevant function,wellness-programs
116,Scott Beattie,Director - Primary Care,Bupa Australia,https://au.linkedin.com/in/scottbeattieau,PASS,1,ICP title match — decision-maker in relevant function,product-integration
117,Susan Cullen,"National Partnership Manager, Overseas",Medibank,https://au.linkedin.com/in/susan-cullen-40334768,PASS,3,ICP title match — decision-maker in relevant function,digital-health-strategy
118,Sam McBain,Head of Workforce Optimisation - Bupa Villages and Aged Care Australia,Bupa Australia,https://au.linkedin.com/in/sammcbain,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
119,Liz Sleeman,"Senior Executive, Group Clinical Governance",Medibank,https://au.linkedin.com/in/liz-sleeman-13131081,PASS,3,ICP title match — decision-maker in relevant function,clinical-operations
120,Georgina Anderson,Head of Employee Communications and Social Impact,HCF Australia,https://au.linkedin.com/in/georgina-anderson-a162573b,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
121,Joanna Wang,Vice President Clinical Operations,Mosh,https://au.linkedin.com/in/joanna-wang-8857bb4a,PASS,2,ICP title match — decision-maker in relevant function,clinical-operations
122,Rebecca Hetherington,Executive Assistant to Managing Director,Bupa Australia,https://au.linkedin.com/in/rebecca-hetherington-723a731b4,FAIL,,,
123,Swati Ram,Group Reporting Manager - ANZ,Bupa Australia,https://au.linkedin.com/in/swatiram,FAIL,,,
124,Maria Ruberto,Member - Mental Health Reference Group,Medibank,https://au.linkedin.com/in/mariaruberto,PASS,3,ICP title match — decision-maker in relevant function,clinical-operations
125,Chloe Dwyer,People and Culture Business Partner,HCF Australia,https://au.linkedin.com/in/chloe-dwyer-b0a71215b,FAIL,,,
126,Kylee Dean-Willcocks,General Manager Transformation,Bupa Australia,https://au.linkedin.com/in/kylee-dean-willcocks,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
127,Nick Malham,New Ventures and AI Product Strategy,Medibank,https://au.linkedin.com/in/nickmalham,PASS,3,ICP title match — decision-maker in relevant function,product-integration
128,Annette King,Chair,HCF Australia,https://au.linkedin.com/in/annette-king-84089426,FAIL,,,
129,Lee-Helena Rosolen,Head of Performance,Mosh,https://au.linkedin.com/in/lee-helena-rosolen,WEAK,,Title has ICP signal but function is analytics/insights/design — influence without clear buying authority,digital-health-strategy
130,Ann K.,Regional Manager,HCF Australia,https://au.linkedin.com/in/ann-k-03148160,FAIL,,,
131,Hayley Smith,National Performance Manager,Bupa Australia,https://au.linkedin.com/in/hayleycarr,WEAK,,Title has ICP signal but function is analytics/insights/design — influence without clear buying authority,digital-health-strategy
132,Rob Lackey,"General Manager, Ancillary Partnerships & Provider Operations",Bupa Australia,https://au.linkedin.com/in/rob-lackey-8601a743,PASS,2,ICP title match — decision-maker in relevant function,operational-scale
133,Rafael Vasconcelos Silva,Data & Analytics Manager,Mosh,https://au.linkedin.com/in/rvasconcelossilva,WEAK,,Title has ICP signal but function is analytics/insights/design — influence without clear buying authority,technical-integration
134,Samantha H.,Head of Delivery,HCF Australia,https://au.linkedin.com/in/samantha-page-9b851293,PASS,2,ICP title match — decision-maker in relevant function,operational-scale
135,Rob Bakker,Head of Strategy and Development,Medibank,https://au.linkedin.com/in/rob-bakker-00951a60,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
136,Alison Madden,Head of Internal Communications,Bupa Australia,https://au.linkedin.com/in/almadden,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
137,Dean Burgess,"Head of Operations, Core Customer Systems",Medibank,https://au.linkedin.com/in/dean-burgess-ab5b06254,PASS,2,ICP title match — decision-maker in relevant function,member-retention
138,Sarah McRae,Chief Executive Amplar Health Home Hospital,Amplar Health,https://au.linkedin.com/in/sarah-mcrae-071164227,PASS,1,ICP title match — decision-maker in relevant function,clinical-operations
139,Leesa Devine,"Personal Assistant to Director (Dental, Optical & Hearing)",Bupa Australia,https://au.linkedin.com/in/leesa-devine-0b36a3124,FAIL,,,
140,Crystal P.,Head of Product,HCF Australia,https://au.linkedin.com/in/crystal-petkoff,PASS,2,ICP title match — decision-maker in relevant function,product-integration
141,Built Varinporn Amporndanai,Medical Director InstantCosmetics,InstantScripts,https://au.linkedin.com/in/built-amporndanai,PASS,1,ICP title match — decision-maker in relevant function,clinical-operations
142,Dan Anderson,Head of Digital Workplace Optimisation,Medibank,https://au.linkedin.com/in/andodan,PASS,2,ICP title match — decision-maker in relevant function,product-integration
143,Mark Liberatore,Technology Domain Manager - MarTech,Bupa Australia,https://au.linkedin.com/in/mark-liberatore,PASS,3,ICP title match — decision-maker in relevant function,product-integration
144,Don Raissis,Non Executive Director,Mosh,https://au.linkedin.com/in/donraissis,PASS,1,ICP title match — decision-maker in relevant function,product-integration
145,Marco Bouman,"Head of Risk and Management Assurance, Healthcare & Strategy Division",Medibank,https://au.linkedin.com/in/marcoboumanmsc,WEAK,,"Relevant domain expertise but compliance/risk function — possible privacy stakeholder, not program buyer",data-privacy
146,Katherine Rellos,"Director, External Communications at Bupa APAC",Bupa Australia,https://au.linkedin.com/in/katherine-rellos-6810624,PASS,1,ICP title match — decision-maker in relevant function,product-integration
147,David Fletcher,Head of Enterprise Architecture,HCF Australia,https://au.linkedin.com/in/dpfletcher,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
148,Lucy Turner,Cluster Manager,Bupa Australia,https://au.linkedin.com/in/lucy-turner-538616a1,FAIL,,,
149,Mel Anders,"Head of Contract & Supplier Management, Procurement",Bupa Australia,https://au.linkedin.com/in/mel-anders-syd,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
150,Hayden Harris,Local Community Leader,Medibank,https://au.linkedin.com/in/hayden-r-harris,FAIL,,,
151,Andrea Tuckey,Head of Provider Strategy,Medibank,https://au.linkedin.com/in/andrea-tuckey,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
152,Tushar Yadav,Medical Director,Mosh,https://au.linkedin.com/in/tushar-yadav-1b5031144,PASS,1,ICP title match — decision-maker in relevant function,clinical-operations
153,Tim Arvanitis,Head of Employee Technology Operations,Medibank,https://au.linkedin.com/in/tim-arvanitis-4b22a34,PASS,2,ICP title match — decision-maker in relevant function,product-integration
154,Terry Agnew,Non Executive Director,HCF Australia,https://au.linkedin.com/in/terry-agnew-ba8293119,PASS,1,ICP title match — decision-maker in relevant function,product-integration
155,Claire Kinghorn,Head of Leadership,Medibank,https://au.linkedin.com/in/claire-kinghorn-34349610,PASS,2,ICP title match — decision-maker in relevant function,digital-health-strategy
156,Julie Andrews,Chief Officer Member Health,HCF Australia,https://au.linkedin.com/in/julie-andrews-652bb544,PASS,1,ICP title match — decision-maker in relevant function,member-retention
157,Bridget Lodge,General Manager Health and Wellbeing,Bupa Australia,https://au.linkedin.com/in/bridget-lodge-b7a04a57,PASS,2,ICP title match — decision-maker in relevant function,clinical-operations
158,Temple Connolly,Conversion Optimisation Manager - Acquisition & Growth,Bupa Australia,https://au.linkedin.com/in/temple-connolly-2247b422,PASS,3,ICP title match — decision-maker in relevant function,member-retention
