company_name,website,hq_country,app_first,cash_pay_glp1,branded_mobile_app,branded_web_app,glp1_medications,subscription_model,coaching_behaviour_support,notes,verification,source_url,http_status,evidence_title,evidence_app_store,evidence_subscription,evidence_geo,evidence_registered_office,checked_at
Asda Online Doctor,https://onlinedoctor.asda.com/uk/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro/Nevolat/Foundayo,No (per prescription),Basic (clinical review),Operated by ZAVA/Health Bridge Ltd,verified-live,https://onlinedoctor.asda.com/uk/,200,"Online Diagnosis, Prescriptions & Medication | Asda Online Doctor",none-on-homepage,,England; London,"Registered Office: 46 Essex Road, London, N1 8LN",2026-09-02T16:38:56Z
Boots Online Doctor,https://onlinedoctor.boots.com/,England,Partial (web-first),Yes,Yes (Coach app by Liva),Yes,Wegovy/Mounjaro/Orlistat/Xenical,Yes (coaching app),Yes (Liva-powered coaching app),UK's largest pharmacy-led; Coach app for behaviour,verified-live,https://onlinedoctor.boots.com/,200,Boots Online Doctor UK - online prescriptions and home test kits,none-on-homepage,,,,2026-09-02T16:38:56Z
Pharmacy2U,https://www.pharmacy2u.co.uk/,England,Partial (web-first),Yes,No dedicated weight loss app,Yes,Wegovy/Mounjaro,Yes (Subscribe & Save),Basic (clinical review),CQC-registered; NHS prescription partner,blocked:js-challenge,https://www.pharmacy2u.co.uk/,403,Just a moment...,,,,,2026-09-02T16:38:56Z
Medicspot,https://www.medicspot.co.uk/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro,Yes,Yes (behaviour change course + health coaches),Free nutrition course; transition support,verified-live,https://www.medicspot.co.uk/,200,Medicspot – Weight Loss That Works,none-on-homepage,/month; plan,Manchester,,2026-09-02T16:38:56Z
HeliosX / MedExpress,https://www.medexpress.co.uk/,England (Leamington Spa),Partial,Yes,No dedicated weight loss app,Yes,Wegovy/Mounjaro,Yes,Basic (clinical review),Parent of MedExpress; GLP-1 clinic revenue focus,verified-live,https://www.medexpress.co.uk/,200,MedExpress - UK Online Pharmacy - Over 2.3 million Customers,none-on-homepage,,England; London,Company Number : 08805262,2026-09-02T16:38:56Z
heySlim,https://www.heyslim.co.uk/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro,Yes,Yes (clinician-led + coaching),Doctor-led; 100% online consultation,verified-live,https://www.heyslim.co.uk/,200,Doctor-led Weight Loss | heySlim,none-on-homepage,per month; subscription; plan,,,2026-09-02T16:38:56Z
Jood Life,https://joodlife.com/,England,Yes,Yes,Yes (iOS/Android),Yes,Wegovy/Mounjaro/Ozempic,Yes,Yes (clinically guided + expert support),Fully remote private clinic; Trustpilot 4.4,verified-live,https://www.joodlife.com/,200,"JoodLife — Innovative weight loss, made just for you",none-on-homepage,subscription; plan,USA,,2026-09-02T16:38:56Z
Live Well Weight Loss,https://livewellweightloss.co.uk/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro,Yes,Yes (pharmacist-led support),GPhC-registered; structured lifestyle programme,verified-live,https://livewellweightloss.co.uk/,200,Weight Loss Treatments UK | GPhC-Registered Online Pharmacy,none-on-homepage,per month; plan,,Registration number: 9012516,2026-09-02T16:38:56Z
Lotus Weight Loss,https://www.lotusweightloss.co.uk/,Wales (UK),Yes,Yes,Yes (Lotus app),Yes,Wegovy/Mounjaro,Yes,Yes (app + ongoing support),Wales-born family-run; Lotus app for support,verified-live,https://www.lotusweightloss.co.uk/,200,Weight Loss Clinic Cardiff | Lotus Weight Loss,none-on-homepage,subscription; plan,England; London; USA,,2026-09-02T16:38:56Z
Cuva Health,https://cuvahealth.co.uk/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro,Yes (subscription discount),Basic (treatment timeline),UK-registered pharmacy; treatment timeline tracking,verified-live,https://cuvahealth.co.uk/,200,Cuva Health | Online Weight Loss Clinic & Pharmacy UK,none-on-homepage,,,,2026-09-02T16:38:56Z
Chemist4U,https://www.chemist-4-u.com/,England,Partial (web-first),Yes,Yes (Chemist4U app for NHS Rx),Yes,Wegovy/Mounjaro,Yes,Basic (pharmacist support),App mainly for NHS prescriptions; GLP-1 via web,verified-live,https://www.chemist-4-u.com/,200,Chemist4U Your Online Pharmacy | Free NHS Prescription Delivery,ios+android,,England,Registration No. GB140138454,2026-09-02T16:38:56Z
Superdrug Online Doctor,https://onlinedoctor.superdrug.com/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro/Foundayo/Nevolat,No (per prescription),Basic (clinical review),High street brand; free delivery/Click & Collect,verified-live,https://onlinedoctor.superdrug.com/,200,"Superdrug™ Online Doctor, at your fingertips ☝️ | Superdrug Online Doctor",none-on-homepage,plan,,Company Number: 07392646,2026-09-02T16:38:57Z
LloydsPharmacy Online Doctor,https://onlinedoctor.lloydspharmacy.com/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro/Orlistat/Xenical,No (per prescription),Basic (clinical review),CQC-registered; chief medical officer Kieran Seyan,verified-live,https://onlinedoctor.lloydspharmacy.com/,200,NHS Experienced Clinicians | LloydsPharmacy Online Doctor UK,none-on-homepage,subscription,London,registration no. 9011437,2026-09-02T16:38:57Z
Dr Frank's,https://drfranks.co.uk/,England,Yes,Yes,Yes (iOS/Android),Yes,Mounjaro/Wegovy,Yes,Yes (clinician-led + pathways),Pathways programme; MHRA regulated,verified-live,https://drfranks.co.uk/,200,Dr. Frank's — Weight Loss Treatments & Clinical Support,none-on-homepage,monthly; plan,,company number 13744129,2026-09-02T16:38:57Z
PillSorted,https://www.pillsorted.com/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro/Saxenda,Yes,Basic (pharmacist support),Online pharmacy with weight loss focus,verified-live,https://www.pillsorted.com/,200,Home - PillSorted,none-on-homepage,monthly; plan,,,2026-09-02T16:38:57Z
The London Obesity Clinic,https://www.thelondonobesityclinic.com/,England,Partial (web-first),Yes,No dedicated app,Yes,Mounjaro/Wegovy,Yes,Yes (specialist clinician support),Specialist obesity clinic; Simplyweight affiliation,verified-live,https://www.thelondonobesityclinic.com/,200,Home - The London Obesity Clinic,none-on-homepage,per month; plan,London; USA,,2026-09-02T16:38:57Z
Easy Pharmacy,https://theeasypharmacy.co.uk/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro,No (no subscription),Basic (pharmacist review),From £130/month; cancel anytime,verified-live,https://theeasypharmacy.co.uk/,200,Home - Easy Pharmacy,none-on-homepage,a month; monthly; subscription; cancel anytime,,Registration Number 9011078,2026-09-02T16:38:57Z
Farmeci,https://farmeci.com/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro,Yes,Basic (digital health coaching),UK online pharmacy & telehealth service,verified-live,https://farmeci.com/,200,Farmeci | UK Online Pharmacy & Telehealth Service | Farmeci,none-on-homepage,plan,London; USA,Company Reg. 13900569,2026-09-02T16:38:57Z
WeightMatters,https://weightmatters.co.uk/,England,Partial (web-first),Yes,No dedicated app,Yes,Wegovy/Mounjaro/Ozempic,Yes,Yes (GLP-1 wraparound support + psychology),Psychology-focused; health psychologist support,verified-live,https://weightmatters.co.uk/,200,Weight Loss Therapy & Eating Disorder Treatment : WeightMatters,none-on-homepage,plan,London,,2026-09-02T16:38:57Z
Oviva,https://oviva.com/uk/en/,England,Yes,Yes (NHS + private),Yes (Oviva app),Yes,Wegovy (NHS)/Mounjaro (limited),Yes (NHS tier 3),Yes (specialist dietitian + app),NHS Tier 3 partner; >300k patients; app-based,verified-live,https://oviva.com/uk/en/,200,Medical weight loss - covered by the NHS | Sign up with Oviva,none-on-homepage,plan,,,2026-09-02T16:38:57Z
