#|Company name|HQ country|Market|Segment|Why wrist = must|Pain Score|Funding / revenue|Funding score|Website|E-com type|Last media mention|Coverage score|Priority score|Audit status|Notes / flags
11|OnePlus Watch|China|B2C|Smartwatch|Wear OS smartwatch with HR/SpO2/GPS sensors; OnePlus Watch 4 with advanced health suite; sensor accuracy requires proper wrist contact|3|OnePlus — large private company in BBK ecosystem; global smartphone top-10 brand; specific financials undisclosed|3|https://www.oneplus.com/|DTC + Marketplace|OnePlus Watch 4 im Test - WearOS auf Steroiden — Smartzone, 2026 — https://www.smartzone.de/oneplus-watch-4-im-test/|1|7|Qualified|FILTER PASS: large private with global scale, sensor-dependent smartwatch, minimal media coverage
12|OPPO Watch|China|B2C|Smartwatch|Wear OS/ColorOS Watch smartwatch with HR/SpO2/ECG sensors; health tracking depends on skin contact; OPPO Health app|3|OPPO — large private company in BBK ecosystem; global top-5 smartphone brand; specific financials undisclosed|3|https://www.oppo.com/en/accessories/|DTC + Retail + Marketplace|Oppo confirms imminent global launch for new luxury smartwatch with up to 16 days battery life - Notebookcheck, Apr 2026 - https://www.notebookcheck.net/Oppo-confirms-imminent-global-launch-for-new-luxury-smartwatch-with-up-to-16-days-battery-life.1274857.0.html|1|7|Qualified|FILTER PASS: large private with global scale, sensor-dependent, minimal Western coverage
13|vivo Watch|China|B2C|Smartwatch|Smartwatch with HR/SpO2/sleep tracking sensors; vivo Health ecosystem; sensor accuracy depends on wrist contact|3|vivo — large private company in BBK ecosystem; global top-5 smartphone brand; specific financials undisclosed|3|https://www.vivo.com/en/products|DTC + Retail + Marketplace|Vivo Watch GT 2 - AMOLED-Smartwatch mit 25 Tage Akku für 150€ — Smartzone, Jun 2026 — https://www.smartzone.de/vivo-watch-gt-2-smartwatch/|1|7|Qualified|FILTER PASS: large private with global scale, sensor-dependent, minimal Western coverage
14|TCL Watch|China|B2C|Smartwatch|Budget smartwatch with basic HR/SpO2 sensors; adjustable strap fits most; sensor accuracy not medical-grade|1|TCL Electronics 2025 revenue HK$114.58B ($14.7B USD), +15.4% YoY — https://en.prnasia.com/releases/global/tcl-electronics-01070-hk-achieving-high-quality-global-growth-in-2025-with-adjusted-profit-attributable-to-owners-of-the-parent-and-dividends-surging-by-over-56--527177.shtml|3|https://www.tcl.com/global/en/wearables|DTC + Retail + Marketplace|No watch-specific coverage found (2025-2026)|1|6|Qualified|FILTER PASS: public parent, massive scale, but watches are minor product line with minimal coverage
15|ZTE Watch|China|B2C|Smartwatch|Budget smartwatch with basic HR/SpO2; adjustable strap; commodity positioning; sensor accuracy secondary|1|ZTE FY2024 revenue ¥115.95B (~$16B USD) — https://craft.co/zte|3|https://www.zte.com.cn/global/|DTC + Retail + Marketplace|No watch-specific coverage found (2025-2026)|1|6|Qualified|FILTER PASS: public company, massive scale, but watches are minor/commodity product line
16|ASUS VivoWatch|Taiwan|Health & Fitness|Smartwatch|Health-focused smartwatch with blood pressure, ECG, HR, SpO2, body composition sensors; medical-grade vitals tracking requires precise skin contact|3|ASUS TTM revenue $23.95B USD — https://companiesmarketcap.com/asus/revenue/|3|https://www.asus.com/mobile-handhelds/wearable-health/|DTC + Retail + Marketplace|Asus VivoWatch 6 Plus launches with advanced health tracking, AMOLED display, sapphire and titanium build - Gizmochina, Jun 2026 - https://www.gizmochina.com/2026/06/02/asus-vivowatch-6-plus-launches-with-advanced-health-tracking-1-43-inch-amoled-display-sapphire-and-titanium-build/|1|7|Qualified|FILTER PASS: public company, health-sensor critical, but minimal wearable-specific coverage
17|Lenovo Watch|China|B2C|Smartwatch|Budget smartwatch (Watch Pro ~$60); basic HR/sleep sensors; adjustable magnetic strap; commodity wearable|1|Lenovo TTM revenue $67.85B USD — https://companiesmarketcap.com/lenovo/revenue/|3|https://www.lenovo.com/|DTC + Retail + Marketplace|Für knapp 60 Euro: Lenovo Watch Pro startet in China — Connect, 2025 — https://www.connect.de/news/lenovo-watch-pro-smartwatch-funktionen-preis-3210158.html|1|6|Qualified|FILTER PASS: public company, massive scale, but watches are minor accessory line
18|imoo Watch Phone|China|Kids|Kids smartwatch|Kids smartwatch with GPS/calling; adjustable band for children 4-12; fit important for comfort/wear compliance; global market leader in kids segment|1|imoo — BBK/vivo ecosystem brand; global market leader in kids smartwatches; specific financials undisclosed|3|https://www.imoostore.com/|DTC + Retail + Marketplace|Independence Without Worry: How the imoo Watch Phone X10 solved my anxiety as a parent - FUTRsg, Jul 2025 - https://futr.sg/2025/07/07/independence-without-worry-how-the-imoo-x10-watch-phone-solved-my-anxiety-as-a-parent/|1|6|Qualified|FILTER PASS: large private, global kids leader, but minimal Western media coverage
19|Frederique Constant|Switzerland|Luxury|Hybrid smartwatch|Hybrid smartwatch with traditional Swiss watch case + basic smart sensors; leather/metal strap needs correct sizing; luxury positioning means returns costly|2|Citizen Watch Co. watches division ¥197B (CHF 1B) FY2026 — parent of FC — https://www.watchpro.com/citizen-becomes-chf-1-billion-watchmaker/|3|https://frederiqueconstant.com/|DTC + Retail|Frederique Constant debuts smaller Worldtimer Manufacture — Yahoo Lifestyle, 2025 — https://www.yahoo.com/lifestyle/frederique-constant-debuts-smaller-worldtimer-113014324.html|2|7|Qualified|FILTER PASS: public parent, hybrid smartwatch niche, watch trade press coverage
20|Alpina Watches|Switzerland|Luxury|Hybrid smartwatch|Hybrid smartwatch (AlpinerX) with basic activity tracking; traditional Swiss watch with leather/metal strap sizing; smart features secondary|2|Citizen Watch Co. parent, watches division ¥197B (CHF 1B) — https://www.watchpro.com/citizen-becomes-chf-1-billion-watchmaker/|3|https://alpinawatches.com/|DTC + Retail|Alpina Seastrong Diver Extreme With A Retro Touch-Up - Fratello Watches, Sep 2025 - https://www.fratellowatches.com/alpina-seastrong-diver-extreme-with-a-retro-touch-up/|1|6|Qualified|FILTER PASS: public parent, hybrid niche, but minimal media coverage
21|TAG Heuer|Switzerland|Luxury|Luxury watch|Luxury Swiss watch with metal bracelet requiring professional sizing; Connected smartwatch line with HR/sports sensors needs skin contact; wrong bracelet sizing = unwearable $2K+ product|3|LVMH 2025 revenue €80.8B; Watches & Jewelry segment €5.09B H1 2025 — https://www.lvmh.com/en/financial-calendar/2024-full-year-results|3|https://www.tagheuer.com/|DTC + Retail|TAG Heuer CEO Antoine Pin verlässt LVMH: Konzern bestätigt — Uhrenkosmos (watch trade), Jan 2026 — https://www.uhrenkosmos.com/tag-heuer-ceo-antoine-pin-verlaesst-lvmh-2026/|3|9|Qualified|FILTER PASS: luxury bracelet sizing critical, public parent (LVMH), major media coverage (WSJ, Forbes, Bloomberg)
22|Montblanc|Switzerland|Luxury|Luxury watch|Luxury Summit smartwatch + traditional watches with leather/metal bracelet requiring precise sizing; Montblanc boutique fitting experience; wrong fit on $1K+ product = returns|3|Richemont FY2025 group revenue — https://www.richemont.com/media/ue1bjrjv/richemont-fy25-annual-report-en.pdf|3|https://www.montblanc.com/|DTC + Retail|"Montblanc Summit smartwatch comes with Google Assistant — Wired, 2017 (archival); newer: ""Montblanc Summit 2+ smartwatch features"" — Gadgetbridge, 2025 — https://www.gadgetbridge.com/news/montblanc-introduces-two-luxurious-accessories-montblanc-smart-headphones-and-summit-2-smartwatch/"|2|8|Qualified|FILTER PASS: luxury bracelet sizing critical, public parent, established brand with tech media coverage
23|Citizen|Japan|Fashion|Accessible/fashion watch|CZ Smart hybrid/Wear OS line with HR sensors requires skin contact; traditional watch lines mostly adjustable straps; hybrid positioning|2|Citizen watches division ¥197B (CHF 1B) FY2026, +10% YoY — https://www.watchpro.com/citizen-becomes-chf-1-billion-watchmaker/|3|https://www.citizenwatch.com/|DTC + Retail + Marketplace|Citizen becomes CHF 1 billion watchmaker as group sales climb 10% — WatchPro, May 2026 — https://www.watchpro.com/citizen-becomes-chf-1-billion-watchmaker/|2|7|Qualified|FILTER PASS: public company, billion-dollar watch group, trade press coverage
24|Casio / G-SHOCK|Japan|Fashion|Accessible/fashion watch|Primarily traditional watches with adjustable resin/metal straps and buckles; G-SHOCK fits most wrist sizes; some G-SHOCK models have HR sensors (GBD-H2000) but minority of line|1|Casio FY2025 (Mar 2025) net sales ¥261.8B ($1.7B USD) — https://finance.yahoo.com/quote/CSIOF/earnings/CSIOF-Q4-2025-earnings_call-303225.html|3|https://www.casio.com/|DTC + Retail + Marketplace|Casio to Release Full-Metal G-SHOCK with MIP LCD for Enhanced — Casio press, Nov 2025 — https://www.casio.com/intl/news/2025/1104-gmw-bz5000/|2|6|Qualified|FILTER EDGE CASE: adjustable straps (Pain=1), public company, massive scale, trade/blog coverage. Mostly traditional watches — limited need for precise wrist measurement
25|Fossil|United States|Fashion|Accessible/fashion watch|Exited smartwatch business Jan 2024; now traditional fashion watches only; adjustable leather/metal straps with standard buckles; fit not critical|1|Fossil Group FY2024 revenue $1.14B — https://en.wikipedia.org/wiki/Fossil_Group|3|https://www.fossil.com/|DTC + Retail|Fossil is quitting smartwatches — The Verge, Jan 2024 — https://www.theverge.com/2024/1/26/24052275/fossil-quitting-smartwatches-android-wear-os|2|6|Qualified|FILTER EDGE CASE: adjustable straps (Pain=1), exited smartwatch business, now traditional watches only. Public company with significant scale but no smartwatch needs.
26|Breitling|Switzerland|Luxury|Luxury watch|Luxury chronographs with metal bracelets; wrong link count = discomfort/returns; some bracelet models have limited micro-adjustment|2|Valuation cut from ~$4.5B to ~$2.2B in 2026 (FT); est. global revenue ~$900M; online rev $37.8M in 2024 (https://ecommercedb.com/store/breitling.com; https://www.watchpro.com/billions-wiped-off-the-value-of-breitling/)|3|https://www.breitling.com/|Direct e-com|Billions Wiped Off The Value Of Breitling — Financial Times / WatchPro, Feb 2026 (https://www.watchpro.com/billions-wiped-off-the-value-of-breitling/)|3|8|FILTER PASS: Very large scale, PE-backed, major media coverage, bracelet-fit relevant|~308K monthly visits (explodingtopics.com); CVC write-down covered by FT
27|Seiko|Japan|Luxury|Luxury watch|Primarily strap-based watches at scale; limited bracelet models; most products use standard buckles|1|Watches segment ¥98.2B H1 FY2025 (~$650M USD); total group ¥160B H1 FY2025 (https://www.notebookcheck.net/Seiko-is-outperforming-Swiss-giants-thanks-to-surging-U-S-sales.1168912.0.html)|3|https://www.seikowatches.com/|Multi-channel|Seiko is outperforming Swiss giants, thanks to surging U.S. sales — Notebookcheck, Nov 2025 (https://www.notebookcheck.net/Seiko-is-outperforming-Swiss-giants-thanks-to-surging-U-S-sales.1168912.0.html)|2|6|FILTER PASS: Public company, strong watch revenue, but mostly strap-based = low pain|Mass-market brand; diverse product range from $100 to $5000+
28|Grand Seiko|Japan|Luxury|Luxury watch|High-end luxury with intricate bracelets; Zaratsu-polished cases require precise bracelet fit for comfort; limited size options|2|See Seiko Group; Grand Seiko positioned as premium sub-brand with significant US growth (https://www.notebookcheck.net/Seiko-is-outperforming-Swiss-giants-thanks-to-surging-U-S-sales.1168912.0.html)|3|https://www.grand-seiko.com/|Multi-channel|Seiko is outperforming Swiss giants — Notebookcheck, Nov 2025 (covers Grand Seiko growth) (https://www.notebookcheck.net/Seiko-is-outperforming-Swiss-giants-thanks-to-surging-U-S-sales.1168912.0.html)|2|7|FILTER PASS: Premium sub-brand of public company; bracelet-fit is key for luxury segment|Grand Seiko growing rapidly in US market
29|Hublot|Switzerland|Luxury|Luxury watch|Known for rubber/ceramic straps with deployant clasps; some King Power/bracelet models; strap-sizing affects comfort|2|LVMH Watches & Jewelry division €10.5B in 2025; Hublot is a key brand within this division (https://www.luxurytribune.com/en/lvmh-watches-babin-prepares-to-step-down-jean-arnault-as-natural-heir)|3|https://www.hublot.com/|Multi-channel|LVMH Watch Week 2025 coverage by GQ, Chrono24, NZZ (https://www.gq-magazin.de/artikel/lvmh-watch-week-2024-tag-heuer-hublot-zenith)|3|8|FILTER PASS: Major LVMH brand, strong media presence at LVMH Watch Week|"Positioned as ""Art of Fusion"" with innovative materials"
30|Zenith|Switzerland|Luxury|Luxury watch|El Primero chronographs with metal bracelets; bracelet sizing critical for wearability; some limited editions with unique clasps|2|LVMH Watches & Jewelry €10.5B in 2025; Zenith is a heritage brand within LVMH (https://www.luxurytribune.com/en/lvmh-watches-babin-prepares-to-step-down-jean-arnault-as-natural-heir)|3|https://www.zenith-watches.com/|Multi-channel|LVMH Watch Week 2024: Das sind die Highlights von TAG Heuer, Hublot, Zenith — GQ Germany, 2024 (https://www.gq-magazin.de/artikel/lvmh-watch-week-2024-tag-heuer-hublot-zenith)|2|7|FILTER PASS: LVMH heritage brand; consistent trade press coverage|Chronomaster Sport is key collection
31|Bulgari Watches|Italy|Luxury|Luxury watch|Jewelry-watch hybrid; Octo Finissimo with integrated bracelet — non-adjustable, must fit perfectly; serpentine bracelets need exact sizing|3|LVMH Watches & Jewelry €10.5B in 2025; Bulgari is a flagship jewelry/watch brand within LVMH (https://www.luxurytribune.com/en/lvmh-watches-babin-prepares-to-step-down-jean-arnault-as-natural-heir)|3|https://www.bulgari.com/|Direct e-com|LVMH Watch Week and Bulgari Octo Finissimo world records widely covered by Robb Report, Hodinkee, Revolution Watch (2025-2026)|3|9|FILTER PASS: Integrated bracelet watch with zero adjustability = very high pain; huge LVMH scale|Octo Finissimo line has integrated bracelets that cannot be easily resized
32|Louis Vuitton Watches|France|Luxury|Luxury watch|Tambour and high-end complications; luxury bracelets/straps; clientele expects perfect fit out-of-box|2|LVMH Watches & Jewelry €10.5B in 2025; LV watchmaking growing with La Fabrique du Temps (https://www.luxurytribune.com/en/lvmh-watches-babin-prepares-to-step-down-jean-arnault-as-natural-heir)|3|https://www.louisvuitton.com/|Direct e-com|LVMH earnings coverage by Bloomberg, Reuters, WSJ (2025-2026); LV watch novelties at Watches & Wonders 2025-2026|3|8|FILTER PASS: Top-tier LVMH brand; major financial media coverage|LV investing heavily in haute horlogerie
33|Cartier|France|Luxury|Luxury watch|Tank, Santos, Panthère — iconic bracelet watches; many models have integrated bracelets; wrong size = unwearable; jewelry-watch crossover|3|Richemont Specialist Watchmakers €3.28B revenue in 2024; Cartier is the crown jewel of Richemont's watch division (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.cartier.com/|Direct e-com|Richemont reports solid results for fiscal year 2024-25 — Luxus Plus, May 2025 (https://luxus-plus.com/en/richemont-reports-solid-results-for-fiscal-year-2024-25/)|3|9|FILTER PASS: Top priority — integrated bracelet models, huge scale, premier media coverage|Cartier Santos and Panthère bracelets require precise fit; very high-end jewelry client
34|IWC Schaffhausen|Switzerland|Luxury|Luxury watch|Pilot/Top Gun watches with leather/rubber straps and metal bracelets; Big Pilot line is large — fit matters for comfort/returns|2|Richemont Specialist Watchmakers €3.28B in 2024; IWC is a major brand in the division (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.iwc.com/|Multi-channel|Richemont's Interim Results Reflect Weakness in Asian Watch Market — Watch Analytics Blog, 2024 (https://blog.watchanalytics.io/p/richemonts-interim-results-reflect)|2|7|FILTER PASS: Major Richemont brand; mostly strap-based but bracelet models exist|IWC pilot watches mostly on straps; some Portugieser on bracelet
35|Panerai|Italy|Luxury|Luxury watch|Large-case watches (44-47mm); extensive strap ecosystem but bracelet models exist; oversized fit can be problematic for smaller wrists|2|Richemont Specialist Watchmakers €3.28B in 2024; Panerai has dedicated following (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.panerai.com/|Multi-channel|Richemont: Watch Sales Down, Jewelry Up — Perpetual Passion, Jul 2025 (https://www.perpetualpassion.com/en/2025/07/16/richemont-vendite-in-calo-per-lorologeria-gioielleria-in-crescita-a-doppia-cifra/)|2|7|FILTER PASS: Strong Richemont brand; large sizes make fit relevant for conversion|Known for oversized cases — wrong fit is a real return risk
36|Jaeger-LeCoultre|Switzerland|Luxury|Luxury watch|Reverso requires precise case fit on wrist; Master Control with bracelets; high-end clientele expects perfect sizing|2|Richemont Specialist Watchmakers €3.28B in 2024; JLC is a flagship manufacture (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.jaeger-lecoultre.com/|Multi-channel|New JLC boutique at ICONSIAM and CEO appointment coverage (https://www.richemont.com/)|2|7|FILTER PASS: High-end manufacture; Reverso fit is important for rectangular case|Reverso unique shape makes wrist measurement more critical
37|Vacheron Constantin|Switzerland|Luxury|Luxury watch|Overseas with integrated bracelet (must fit exactly); Patrimony and Traditionnelle on bracelets; ultra-high-end clientele|3|"Richemont Specialist Watchmakers €3.28B in 2024; Vacheron is one of the ""Holy Trinity"" (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)"|3|https://www.vacheron-constantin.com/|Varies|Vacheron Constantin Wraps Up 270th Anniversary With Diamonds — Forbes, Dec 2025 (https://www.forbes.com/sites/robertanaas/2025/12/22/vacheron-constantin-wraps-up-270th-anniversary-year-with-diamonds/)|3|9|FILTER PASS: Highest priority — integrated bracelet, Forbes coverage, holy trinity brand|Overseas integrated bracelet needs exact wrist measurement for proper fit
38|Piaget|Switzerland|Luxury|Luxury watch|Altiplano ultra-thin; Polo with integrated bracelet; jewelry-watch hybrids; ultra-thin cases demand precise bracelet fit|2|Richemont Specialist Watchmakers €3.28B in 2024; Piaget positioned as jewelry-watch maison (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.piaget.com/|Multi-channel|Richemont financial results coverage by Bloomberg, Reuters (2025-2026)|2|7|FILTER PASS: Richemont jewelry-watch brand; integrated bracelet models|Polo collection with integrated bracelet is growing
39|A. Lange & Söhne|Germany|Luxury|Luxury watch|Mostly alligator leather straps with deployant clasps; some bracelet models (Odysseus); German precision — fit matters for ultra-luxury|2|Richemont Specialist Watchmakers €3.28B in 2024; ALS is ultra-high-end German manufacture (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.alange-soehne.com/|Varies|Watches & Wonders 2026 featuring ALS novelties; covered by Revolution Watch, Hodinkee (2026)|3|8|FILTER PASS: Ultra-high-end German manufacture; Watches & Wonders coverage|Odysseus bracelet model needs precise fit; most models are strap-based
40|Roger Dubuis|Switzerland|Luxury|Luxury watch|Excalibur aggressive designs; mostly rubber/leather straps with deployant; limited bracelet models|1|Richemont Specialist Watchmakers €3.28B in 2024; Roger Dubuis is niche high-end (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/)|3|https://www.rogerdubuis.com/|Varies|Roger Dubuis präsentiert: die neue Excalibur Blacklight — Swisswatches Magazine, 2026 (https://swisswatches-magazine.de/roger-dubuis-praesentiert-die-neue-excalibur-blacklight-spin-stone-monobalancier/)|2|6|FILTER PASS: Richemont niche brand; mostly strap-based = lower pain|Excalibur mainly on rubber straps with deployant clasp
41|Hermès Watches|France|Luxury|Luxury watch|H08, Arceau, Cape Cod — many on Hermès leather straps; some bracelet models; high-end fashion clientele expects perfect fit|2|Hermès total revenue €15.2B in 2024; watches line included in group results (https://finance.hermes.com/2024-full-year-results/)|3|https://www.hermes.com/|Direct e-com|Hermès 2024 Full-Year Results: Outstanding results, revenue €15.2B — Hermès Finance, Feb 2025 (https://finance.hermes.com/2024-full-year-results/)|3|8|FILTER PASS: Public company with massive scale; premier media coverage of financial results|Hermès Time at Watches & Wonders Geneva annually
42|Gucci Timepieces|Italy|Luxury|Luxury watch|Fashion watches with bracelets and straps; Grip, G-Timeless collections; fashion-forward sizing matters for luxury e-com returns|2|Kering total revenue €17.2B in 2024; Gucci €7.7B in 2024; watches part of Gucci's accessories (https://www.kering.com/en/news/2024-annual-results/)|3|https://www.gucci.com/|Direct e-com|Kering Revenue Fell in 2024 Thanks to Declines at Gucci — The Fashion Law, 2025 (https://www.thefashionlaw.com/kering-revenue-fell-in-2024-thanks-to-declines-at-gucci-ysl/)|3|8|FILTER PASS: Major Kering brand; extensive financial media coverage; fashion watch fit matters|Gucci watches mostly fashion-oriented; e-com is important channel
43|Porsche Design Timepieces|Germany|Luxury|Luxury watch|Chronograph and sports watches; metal bracelets and rubber straps; automotive-inspired designs — fit matters for brand experience|2|Porsche AG revenue €40.1B in 2024; Porsche Design watches are a licensed/group brand (https://www.ainvest.com/news/porsche-design-watches-hidden-growth-engine-luxury-automotive-ecosystem-2508/)|3|https://www.porsche-design.com/|Direct e-com|Porsche Design Watches: A Hidden Growth Engine in the Luxury Automotive Ecosystem — AInvest, Aug 2025 (https://www.ainvest.com/news/porsche-design-watches-hidden-growth-engine-luxury-automotive-ecosystem-2508/)|2|7|FILTER PASS: Public parent with massive scale; automotive-luxury crossover|Porsche branding gives built-in audience and credibility
44|Arnold & Son|Switzerland|Luxury|Luxury watch|High-end mechanical with leather straps; limited bracelet models; niche ultra-luxury|1|Citizen Watch Co. revenue ~¥300B (~$2B); Arnold & Son is tiny niche within the group (https://www.citizen.co.jp/global/ir/library_archive/library_en/2024)|3|https://www.arnoldandson.com/|Varies|The New Arnold & Son Longitude Titanium 5degW Edition - Monochrome Watches, Oct 2025 - https://monochrome-watches.com/arnold-and-son-longitude-titanium-5w-limited-edition-review-price/|1|5|FILTER EDGE CASE: Public parent but tiny sub-brand; minimal wrist-fit criticality|Primarily strap-based; niche collector brand
