record_id,company_name,website,founded_year,hq_city,size,key_features,why_fit,source_url
AUFIT-11,Sweat (The Bikini Body Training Company Pty Ltd),https://sweat.com,2015,"Adelaide, SA",not disclosed,"C3 Apple Health and Apple Watch integration; 70+ programs and thousands of workouts, 500+ recipes, in-app progress tracking, home and gym variants; 39M+ downloads; repurchased by its founders from iFIT in 2023, so Australian-owned again","Tier B, top of it. Largest Australian-owned consumer fitness app, selling a body-transformation outcome evidenced only by workout logs and user photos. Adaptive AI coaching is not documented, so this is a product-expansion pitch to product and growth owners.",https://sweat.com/
AUFIT-12,Kic (Kic App Pty Ltd),https://kicwellness.com,,"Melbourne (Cremorne), VIC",not disclosed,"1,000+ classes (Pilates, strength, running, yoga, HIIT, mobility), 100+ mindset and breathwork sessions, 1,000+ dietitian-approved recipes, 20+ guided programs, in-app run and walk mapping, community challenges, pre and postnatal content; 2.8M community, 1M+ downloads, 4.8 App Store rating; Melbourne studio and retail range","Tier B. The Australian consumer app closest in shape to Erakulis (move, eat, mind in one loop) with no wearable integration or body metric documented. A scan is both the missing measurement and a credible premium-tier hook.",https://kicwellness.com/
AUFIT-13,28 by Sam Wood,https://www.28bysamwood.com,,"Melbourne, VIC",not disclosed,"C3 Apple Health integration; daily 28-minute home workouts (HIIT, cardio, strength, yoga, Pilates), 7-day customisable meal plans with swap, drop and scale options, mindfulness and meditation, in-app progress tracking, 64,000+ member community, menopause, pregnancy and postnatal programs; 500,000+ people through the program","Tier B. Built on defined transformation windows (28 days, 8-week challenges), which is exactly the cadence a repeatable scan is designed to measure.",https://www.28bysamwood.com/
AUFIT-14,Emily Skye FIT (Loup Pty Ltd),https://emilyskyefit.com,,"Gold Coast, QLD",not disclosed,"C3 HealthKit logging of workouts and meditations; 600+ workouts across 8 programs, 5 new workouts weekly, 500+ dietitian-approved recipes with meal plans and shopping lists, 130+ pregnancy-safe workouts and postpartum programs; $10 to $20 AUD per month with a 2-week trial","Tier B. Women's transformation subscription with pre and postnatal cohorts, where body change is the entire value proposition and self-measurement is least reliable.",https://apps.apple.com/au/app/emily-skye-fit-workout-app/id1373096209
AUFIT-15,Michelle Bridges 12WBT,https://12wbt.com,2010,"Sydney, NSW",not disclosed,"12-week transformation rounds with tailored and express workouts, 1,300+ recipes with shopping-list integration, mindset video lessons, in-app tracker, menopause program; iOS and Android; running in Australia for over a decade",Tier B. The original Australian 12-week body-transformation program. Every round opens and closes on a before-and-after that is currently evidenced by photos and scale weight only.,https://12wbt.com/
AUFIT-16,Transform by Fitaz (FitazFK Health Pty Ltd),https://fitazfk.com,,"Burleigh Heads, QLD",not disclosed,"200+ at-home workouts of 18 to 28 minutes, 800+ recipes, staged programs (weight-loss reset, strength and tone, shape and sculpt) plus pregnancy, postpartum, perimenopause and Pilates tracks, expert community, results-in-8-weeks promise with money-back guarantee; 200,000+ members globally","Tier B. Sells an 8-week result under a money-back guarantee, so objective before-and-after measurement is tied directly to its refund exposure and marketing claims. No wearable or AI features documented.",https://fitazfk.com/
AUFIT-17,The Fast 800,https://aus.thefast800.com,2016,"Perth, WA",11-50 employees,"12-week program app with 18 meal plans (keto, vegetarian, 5:2 variants), 700+ recipes, daily guided workouts, regular health tracking, mindfulness and meditation audio, member community and ongoing support; 80,000+ members; Australian and UK operations","Tier B. Rapid-weight-loss program where lean-mass preservation is the credibility question, and composition tracking is the direct answer to it. GDPR applies through the UK operation.",https://aus.thefast800.com/program/
AUFIT-18,Defeat Diabetes,https://www.defeatdiabetes.com.au,2021,,not disclosed,"12-week doctor-led low-carb program by app and web: weekly unlocked lessons, weekly meal plans, 450+ recipes, blood-glucose and habit progress tracking, optional one-to-one dietitian telehealth, HbA1c test referrals, community support; 9,500+ members; Diabetes Australia partnership; published 12-month outcomes study",Tier B. Clinical-adjacent metabolic program already tracking glucose and habits. Body composition adds the visible-change metric that carries members through a 12-week course and strengthens its outcomes reporting.,https://www.defeatdiabetes.com.au/about-defeat-diabetes/
AUFIT-19,Vitruvian,https://www.vitruvianform.com,2018,"West Perth, WA",22 employees (March 2026),"C4 adaptive resistance adjusting load in real time to the user's movement (7kg to 180kg digital weight, algorithmic control up to 40 times per second); Trainer+ hardware with app, 200+ exercises, 300+ classes, performance logging, time-under-tension and eccentric modes; $51.4M raised across 4 rounds; US and EU markets","Tier B. The purest adaptive-AI training product in Australia and already data-native at rep level, yet body composition is the outcome its performance data cannot produce. Note: the main website was in a pre-launch holding state when checked, so verify commercial status first.",https://play.google.com/store/apps/details?id=com.vitruvian
AUFIT-20,VALD,https://valdperformance.com,2015,"Brisbane (Newstead), QLD","51-200 employees (source-dependent: approx. 51 in Jun 2025, LinkedIn band 51-200); revenue $54.3M (2026); 4,000+ teams and organisations","Human-measurement systems: ForceDecks force plates, NordBord, ForceFrame, HumanTrak 3D movement analysis, SmartSpeed, SmartJump, AirBands, plus TeleHab and MoveHealth exercise-prescription apps; customers across elite sport, universities, defence and clinics; 1,100sqm global head office in Brisbane",Tier B on feature count and Tier A on intent: it already sells objective human measurement to exactly the buyers who would resell body composition. Treat as a partnership or OEM motion rather than an in-app feature sale.,https://valdperformance.com/products
AUFIT-21,Springday,https://myspringday.com.au,,"North Sydney, NSW",not disclosed,"C3 activity trackers and wearables linked for team movement challenges and leaderboard points; custom corporate wellbeing platform with monthly campaigns, wellbeing assessments, private personal health charting, workouts, meditations and recipes, social wall and recognition, employer reporting; iOS and Android","Tier B. Employer platform already ingesting wearable data and running assessments, where a remote body-composition check would make challenge outcomes measurable instead of step-count only.",https://myspringday.com.au/movement-challenges/
AUFIT-22,Sleepfit,https://www.sleepfit.io,2016,"Sydney (Darlinghurst), NSW",not disclosed,"Digital sleep screening, assessment and triage into personalised pathways, plus education and habit programs; sold to employers, insurers and health and wellbeing providers; offered as an HCF member benefit; Virgin Pulse certified partner; ISO 27001 certified","Tier B. Owns the recovery pillar of the Erakulis loop and sells into Australian employers and insurers with a security posture that clears procurement. Body data would be a new pillar for them, so approach as a partnership.",https://www.sleepfit.io/
AUFIT-23,Fernwood Fitness,https://www.fernwoodfitness.com.au,1989,"Victoria (first club Bendigo, national network)","approx. 71 clubs, 90,000+ members","C3 member app using HealthKit to share activity and workout data and to drive activity incentives; FWD, a personalised fitness and nutrition app extending the brand beyond clubs; Fernwood Pulse at-home access included with membership; milestone tracking, bookings and member perks","Tier B and a deliberate exception to the gym-chain exclusion, because the digital layer is real (own app plus the FWD product). Women-only network with in-club touchpoints where a first scan is easy to introduce and then repeated at home.",https://apps.apple.com/au/app/fernwood-fitness/id1471097941
AUFIT-24,Fitstop,https://fitstop.com/au,2017,"Brisbane, QLD","160+ locations in 4 countries, 50,000+ members, 800+ trainers","Member app for workout tracking, class booking, progress and community; performance-based session blocks (Lift, Perform, Condition, Sweat) with nutrition support and coach-led programming; runs on the Hapana platform for its international growth","Tier B. A performance-benchmark franchise whose members already retest strength and conditioning, so a periodic body-composition retest fits an existing habit. No wearable integration documented.",https://fitstop.com/au/fitstop-app/
AUFIT-25,"Xyris (Easy Diet Diary, FoodWorks)",https://www.xyris.com.au,1989,"Brisbane, QLD",not disclosed,"Easy Diet Diary consumer app: food logging with barcode scanning against the Australian food database, exercise tracking, macro and micronutrient monitoring, energy in kilojoules or calories, progress charts, sharing with practitioners via FoodWorks.online; FoodWorks Professional used by hospitals, private practices, universities and food manufacturers; 15,000+ five-star reviews","Tier B. Australia's default nutrition-data company and the local counterpart to the food-scanning side of the Erakulis stack. Logging is barcode and manual rather than photo AI, and there is no body metric, so both gaps are open.",https://www.easydietdiary.com/
AUFIT-26,Sonder,https://www.sonder.io,2017,"Sydney (Waterloo), NSW","not disclosed (A$40M raised; clients include Woolworths, McDonald's, KPMG, Bupa)","24/7 medical, mental-health and safety support app with wellbeing assessments, proactive alerts, journey tracking and check-ins, access to nurses, telehealth GPs and psychologists, workforce risk reporting and manager support; ISO certification, GDPR compliance and UK Cyber Essentials; offices in Australia, New Zealand and the UK","Tier B and the weakest feature match here (no wearable or body-data layer documented), kept because it is a large Australian employee-care platform with a preventive-health roadmap and enterprise procurement already solved.",https://www.sonder.io/
