#,company_name,website,hq_city,hq_country,segment,app_first,subscription_model,progress_tracking_today,icp_fit,fit_rationale,flags,verification
14,Ritual,https://ritual.com/,Los Angeles,USA,Vitamin subscription DTC,Yes,Yes (monthly),None,Exclude,US-HQ and there is no body-measurement moment in a vitamin subscription,geo + use-case,unverified-desk
15,Care/of,https://takecareof.com/,New York,USA,Personalised vitamin subscription,Yes,Yes (monthly),None,Exclude,"Bayer took a majority stake in 2023 and the business wound down, so there is likely no operating company to approach",viability + geo + use-case,unverified-desk
16,Slimming World,https://www.slimmingworld.co.uk/,Alfreton,England,Group weight management,Yes (Slimming World app + online membership),Yes (weekly group or online),Weekly weigh-in is the core ritual of the product,High,"The weekly weigh-in is the whole retention loop, and a non-scale signal attaches to a behaviour that already exists at national scale",Consultant franchise network; central HQ owns the app,unverified-desk
17,Noom UK,https://www.noom.com/,New York,USA,Behaviour-change weight app,Yes (iOS/Android),Yes (monthly),Self-reported weight and habit logging,Exclude,Named explicitly as an anti-case in the approved hypothesis because product decisions sit in New York,anti-case + geo: route to `nick` (USA),unverified-desk
18,WeightWatchers UK,https://www.weightwatchers.com/uk/,New York (US parent),USA,Weight management programme,Yes (WW app),Yes (monthly),Weekly weigh-in and app tracking,Exclude,"US-HQ decision-making, and the parent filed Chapter 11 in May 2025, while the UK clinical route already runs through CheqUp",anti-case + geo + viability,unverified-desk
19,Anytime Fitness UK,https://www.anytimefitness.co.uk/,Woodbury MN (brand owner),USA,Franchised gym chain,Partial,Yes (monthly membership),Varies by franchisee,Low,"Franchise model with the brand owner in Minnesota, so there is no single UK product buyer and each club decides for itself",geo + no central UK buyer,unverified-desk
20,Snap Fitness UK,https://www.snapfitness.co.uk/,Minneapolis (brand owner),USA,Franchised gym chain,Partial,Yes (monthly membership),Varies by franchisee,Low,Same franchise structure under Lift Brands with no central UK product decision-maker,geo + no central UK buyer,unverified-desk
21,Origym,https://origympersonaltrainercourses.co.uk/,Liverpool,England,Personal trainer education,No,No (course fees),None,Low,"UK-HQ but they qualify trainers rather than run a member progress loop, which makes this a channel partnership at best",use-case: not a buyer for an embedded scan,unverified-desk
22,MyPossibleSelf,https://www.mypossibleself.com/,London,England,Mental health app,Yes (iOS/Android),Yes (subscription),Mood and habit tracking,Low,UK geo and app-first but the product has no body-measurement moment,use-case: mental health has no body data surface,unverified-desk
23,Advanced Appetite,,Unknown,Unknown,Diet pill / gummy supplement brand,No,No,None,Exclude,"Affiliate-marketed supplement brand with no verifiable operating company, product team or LinkedIn presence to run a campaign against",viability: recommend removal from the list,unverified-desk
24,PhenQ,https://phenq.com/,Glasgow,Scotland,Diet pill supplement brand,No,Partial (repeat purchase),None,Exclude,"Marketed by Wolfson Brands, which is Scotland-HQ and therefore outside the England filter, and the affiliate supplement model has no app or patient surface",anti-case (Scotland) + use-case,unverified-desk
25,Bupa Global,https://www.bupaglobal.com/,London,England,International private medical insurance,Partial,Yes (insurance premium),Health assessments,Route elsewhere,"A real 3DLOOK ICP under the health plans and insurance segments, but insurer-funded B2B2C is an explicit anti-case in this hypothesis with a different buyer and a different proof burden",anti-case: needs its own hypothesis,unverified-desk
26,Aetna UK,https://www.aetnainternational.com/,Farnborough,England (US parent),International private medical insurance,Partial,Yes (insurance premium),Health assessments,Route elsewhere,Same insurer anti-case and the parent is CVS Health in the US so UK product authority is unclear,anti-case + geo: needs its own hypothesis,unverified-desk
