#,Segment,Company name,Audit status,HQ country,Market,Segment,Why wrist = must,Pain Score,Funding / revenue,Funding score,Website,E-com type,Last media mention = title + source link with anchor,Coverage score,Priority score,Notes / flags
11.0,Watches (luxury + smartwatch),Montblanc,Qualified,Switzerland,Luxury,Luxury watch,Luxury Summit smartwatch + traditional watches with leather/metal bracelet requiring precise sizing; Montblanc boutique fitting experience; wrong fit on $1K+ product = returns,3.0,Richemont FY2025 group revenue — https://www.richemont.com/media/ue1bjrjv/richemont-fy25-annual-report-en.pdf,3.0,https://www.montblanc.com/,DTC + Retail,"Montblanc Summit smartwatch comes with Google Assistant — Wired, 2017 (archival); newer: ""Montblanc Summit 2+ smartwatch features"" — Gadgetbridge, 2025 — https://www.gadgetbridge.com/news/montblanc-introduces-two-luxurious-accessories-montblanc-smart-headphones-and-summit-2-smartwatch/",2.0,8.0,"FILTER PASS: luxury bracelet sizing critical, public parent, established brand with tech media coverage"
12.0,Watches (luxury + smartwatch),Honor Watch,Qualified,China,B2C,Smartwatch,Smartwatch with HR/SpO2/stress monitoring sensors; health features require skin contact; Honor Health app ecosystem,3.0,"Honor Device Co. large private, global scale; specific revenue undisclosed — independent from Huawei since 2020",3.0,https://www.honor.com/global/wearables/,DTC + Retail + Marketplace,"Honor Watch 6 Review: Great Endurance, Not Quite Perfect - Yanko Design, Jul 2026 - https://www.yankodesign.com/2026/07/13/honor-watch-6-review-great-endurance-not-quite-perfect/",1.0,7.0,"FILTER PASS: global scale, sensor-dependent, but minimal watch-specific media coverage"
13.0,Watches (luxury + smartwatch),Withings,Qualified,France,Health & Fitness,Hybrid smartwatch,ScanWatch medical-grade ECG/SpO2 sensors require precise skin contact for clinical accuracy; hybrid design with traditional watch sizing; medical device classification,3.0,Withings $96M raised over 7 rounds; ~$100M revenue (2023) — https://www.cbinsights.com/company/withings/financials,2.0,https://www.withings.com/,DTC + Retail,"Withings ScanWatch 2 Review: Medical-Grade Hybrid Innovation - CyberNews, Mar 2026 - https://cybernews.com/health-tech/withings-scanwatch-2-review/",2.0,7.0,"FILTER PASS: Series B+, medical-grade sensors, CES press coverage"
14.0,Sports & outdoor wearables,Suunto,Qualified,Finland,Sport,Sport smartwatch,Sport GPS watch with wrist HR/SpO2 sensors; multisport tracking requires consistent skin contact for training metrics accuracy; trail runners/divers depend on reliable data,3.0,Suunto annual revenue ~$61M (2025 est); owned by Liesheng since 2022 — https://ecdb.com/resources/sample-data/retailer/suunto,2.0,https://www.suunto.com/,DTC + Retail,"Suunto Vertical 2 Titanium AMOLED Smartwatch Unveiled — Dutchiee.tv, Mar 2026 — https://www.dutchiee.tv/news/suunto-vertical-2-titanium-amoled-smartwatch-unveiled/",2.0,7.0,"FILTER PASS: global scale sport brand, sensor-dependent, trade press coverage"
15.0,Watches (luxury + smartwatch),OnePlus Watch,Qualified,China,B2C,Smartwatch,Wear OS smartwatch with HR/SpO2/GPS sensors; OnePlus Watch 4 with advanced health suite; sensor accuracy requires proper wrist contact,3.0,OnePlus — large private company in BBK ecosystem; global smartphone top-10 brand; specific financials undisclosed,3.0,https://www.oneplus.com/,DTC + Marketplace,"OnePlus Watch 4 im Test - WearOS auf Steroiden — Smartzone, 2026 — https://www.smartzone.de/oneplus-watch-4-im-test/",1.0,7.0,"FILTER PASS: large private with global scale, sensor-dependent smartwatch, minimal media coverage"
16.0,Watches (luxury + smartwatch),OPPO Watch,Qualified,China,B2C,Smartwatch,Wear OS/ColorOS Watch smartwatch with HR/SpO2/ECG sensors; health tracking depends on skin contact; OPPO Health app,3.0,OPPO — large private company in BBK ecosystem; global top-5 smartphone brand; specific financials undisclosed,3.0,https://www.oppo.com/en/accessories/,DTC + Retail + Marketplace,"Oppo confirms imminent global launch for new luxury smartwatch with up to 16 days battery life - Notebookcheck, Apr 2026 - https://www.notebookcheck.net/Oppo-confirms-imminent-global-launch-for-new-luxury-smartwatch-with-up-to-16-days-battery-life.1274857.0.html",1.0,7.0,"FILTER PASS: large private with global scale, sensor-dependent, minimal Western coverage"
17.0,Watches (luxury + smartwatch),vivo Watch,Qualified,China,B2C,Smartwatch,Smartwatch with HR/SpO2/sleep tracking sensors; vivo Health ecosystem; sensor accuracy depends on wrist contact,3.0,vivo — large private company in BBK ecosystem; global top-5 smartphone brand; specific financials undisclosed,3.0,https://www.vivo.com/en/products,DTC + Retail + Marketplace,"Vivo Watch GT 2 - AMOLED-Smartwatch mit 25 Tage Akku für 150€ — Smartzone, Jun 2026 — https://www.smartzone.de/vivo-watch-gt-2-smartwatch/",1.0,7.0,"FILTER PASS: large private with global scale, sensor-dependent, minimal Western coverage"
18.0,Medical wearables,ASUS VivoWatch,Qualified,Taiwan,Health & Fitness,Smartwatch,"Health-focused smartwatch with blood pressure, ECG, HR, SpO2, body composition sensors; medical-grade vitals tracking requires precise skin contact",3.0,ASUS TTM revenue $23.95B USD — https://companiesmarketcap.com/asus/revenue/,3.0,https://www.asus.com/mobile-handhelds/wearable-health/,DTC + Retail + Marketplace,"Asus VivoWatch 6 Plus launches with advanced health tracking, AMOLED display, sapphire and titanium build - Gizmochina, Jun 2026 - https://www.gizmochina.com/2026/06/02/asus-vivowatch-6-plus-launches-with-advanced-health-tracking-1-43-inch-amoled-display-sapphire-and-titanium-build/",1.0,7.0,"FILTER PASS: public company, health-sensor critical, but minimal wearable-specific coverage"
19.0,Watches (luxury + smartwatch),Baume & Mercier,Qualified,Switzerland,Luxury,Luxury watch,Riviera with integrated bracelet (key model); Clifton with bracelet options; Riviera's 12-sided bezel + bracelet needs precise fit,3.0,Richemont Specialist Watchmakers €3.28B in 2024; Baume & Mercier is entry-luxury within Richemont (https://www.statista.com/statistics/1377910/richemont-watchmakers-sales/),3.0,https://www.baume-et-mercier.com/,Multi-channel,"We explore Baume & Mercier's Watches & Wonders 2025 releases with new CEO Michael Guenoun - Time+Tide, May 2025 - https://timeandtidewatches.com/baume-mercier-collection-overview-watches-wonders-2025/",1.0,7.0,Riviera is the flagship; similar integrated-bracelet fit challenge as other luxury sports watches Riviera integrated bracelet = very high pain; Richemont scale but low standalone coverage
20.0,Sports & outdoor wearables,Polar Electro,Qualified,Finland,Sport,Sport smartwatch,Pioneer of wrist HR monitoring; sport watches with Precision Prime sensor fusion (optical + bioimpedance); sensor accuracy critical for training data; elite athletes depend on data,3.0,Polar Electro Oy Finland entity revenue ~€32.8M (2024); global group est $100M+ — https://www.kauppalehti.fi/yritykset/yritys/02099112,2.0,https://www.polar.com/,DTC + Retail + Marketplace,"Polar Street X In-Depth Review: What's the Catch? - DC Rainmaker, Apr 2026 - https://www.dcrainmaker.com/2026/04/polar-street-x-in-depth-sports-review.html",1.0,6.0,"FILTER PASS: global scale sport brand, sensor pioneer, but limited recent media coverage"
21.0,Sports & outdoor wearables,COROS Wearables,Qualified,China / USA (Orange County),Sport,Sport smartwatch,Sport GPS watch with wrist HR/SpO2 sensors; multisport tracking needs consistent skin contact; used by elite endurance athletes (Eliud Kipchoge),3.0,COROS raised $6.1M total over 1 round — https://tracxn.com/d/companies/coros/__a6oXguug8D7DjFVdjYKmVl1weFlaegiA0Stp61NywvE,1.0,https://coros.com/,DTC + Retail,"COROS is teasing an 'all-new Apex' mountain watch — Android Central, 2026 — https://www.androidcentral.com/wearables/coros-teases-apex-3-outdoor-watch",2.0,6.0,"FILTER PASS: sport-focused, sensor-dependent, trade press coverage, but small private company"
22.0,Watches (luxury + smartwatch),Maurice Lacroix,Qualified,Switzerland,Luxury,Luxury watch,Aikon collection with integrated bracelet (key model); Masterpiece line with bracelets; bracelet sizing critical for Aikon's success,3.0,DKSH is public (SIX Swiss Exchange); Maurice Lacroix is a subsidiary; brand was put for sale in 2015 but remains with DKSH (https://en.wikipedia.org/wiki/Maurice_Lacroix),2.0,https://www.mauricelacroix.com/,Multi-channel,"Maurice Lacroix AIKON Venturer 38mm — Our Man On The Ground Travel, 2025-2026 (https://omotgtravel.com/watches/maurice-lacroix-aikon-venturer-38mm/)",1.0,6.0,Aikon is the breadwinner for ML; integrated bracelet makes wrist fit critical. Aikon integrated bracelet = high pain; DKSH public parent but small sub-brand
23.0,Fine jewelry (bracelets & bangles),Cartier,Qualified,France,EU / Global,Jewelry,"Iconic rigid bangles (Love, Juste un Clou) require precise wrist measurement — size guide available on site with printable measuring tool. Fixed sizes (15-21). No adjustability.",3.0,"€22.4B (FY ending March 2025)
 Source: https://www.richemont.com/news-media/press-releases-news/richemont-posts-robust-performance-for-the-year-ended-31-march-2025/",3.0,https://www.cartier.com/,DTC + Retail (own boutiques + e-commerce + wholesale),"Love 2.0: Cartier Redesigns the Legendary Love Bracelet for the First Time — Marie Claire, October 1, 2025
 https://www.marieclaire.ru/vestnik/love-2-0-cartier-vpervye-izmenili-dizain-legendarnogo-brasleta/",3.0,9.0,Flagship Richemont jewelry brand. Love bracelet is the ultimate rigid-bangle sizing challenge — requires screwdriver to put on/remove. Best-in-class ICP fit.
24.0,Fine jewelry (bracelets & bangles),Chow Tai Fook,Qualified,Hong Kong,Asia / Global,Jewelry,Largest jewelry retailer in China. Gold bangles with fixed diameters are core product category. Rigid sizing with high return risk. PRIME target for wrist measurement tech.,3.0,"HKD 89.66B / ~$11.5B (FY2025)
 Source: https://stockanalysis.com/quote/otc/CJEWF/revenue/",3.0,https://www.chowtaifook.com,"Retail, DTC (5000+ stores)","Zhao Lusi Becomes Chow Tai Fook's Global Brand Ambassador — 72OneTravel, Jul 20, 2026
 https://72onetravel.com/2026/07/20/zhao-lusi-becomes-chow-tai-fooks-global-brand-ambassador-wins-attention-with-humorous-on-stage-moment/",3.0,9.0,PRIME TARGET. Massive scale. Gold bangles with rigid fixed sizes. High return risk from sizing issues. Expanding globally.
25.0,Fine jewelry (bracelets & bangles),Dior,Qualified,France,EU / Global,Jewelry,Dior has dedicated bangle size guide page with printable measuring tape. Bangles in 14.5-19.5cm sizes. My Dior and Rose des Vents collections have rigid bangles.,3.0,"€80.8B (2025 LVMH)
 Source: https://www.lvmh.com/en/investors/key-figures",3.0,https://www.dior.com/,DTC + Retail (own boutiques + e-commerce + wholesale),"Dior Autumn-Winter 2025-2026 Ready-to-Wear Show — Dior Official, 2025
 https://www.dior.com/en_lt/fashion/womens-fashion/ready-to-wear-shows/autumn-winter-2025-2026-ready-to-wear-show",3.0,9.0,Strong fine jewelry under Victoire de Castellane. Has dedicated bangle sizing page — shows awareness of wrist measurement challenge. Fashion + fine jewelry powerhouse.
26.0,Fine jewelry (bracelets & bangles),Pandora,Qualified,Denmark,EU / Global,Jewelry,World's largest jewelry brand. Core product is charm bracelets with rigid fixed sizes (S/M/L with specific cm measurements). Extensive size guide requiring customers to measure wrists. HIGH pain point for wrist measurement tech.,3.0,"DKK 32.5B / €4.4B (2025)
 Source: https://www.pandoragroup.com/",3.0,https://www.pandora.net,"DTC, Retail (7000+ POS, 2800+ concept stores)","Pandora Generated Revenue of DKK 32.5 billion in 2025 — Pandora Group Corporate, 2026
 https://www.pandoragroup.com/",3.0,9.0,PRIME TARGET. Core business is bracelets with rigid sizing. Massive scale. Customers must measure wrists. Perfect ICP fit.
27.0,Fine jewelry (bracelets & bangles),Mejuri,Qualified,Canada,North America / Global,Jewelry,"DTC fine jewelry brand. Bracelets, cuffs, bangles with specific sizing. Online size guide requiring wrist measurement. Cuffs with fixed inner circumferences. HIGH pain point.",3.0,"~$160M (2025 est.)
 Source: https://ecdb.com/resources/sample-data/retailer/mejuri",2.0,https://www.mejuri.com,"DTC (digitally native), Retail stores","Jeweler Mejuri Sets a Strategy in Silver — WWD, May 26, 2026
 https://wwd.com/accessories-news/jewelry/mejuri-sets-strategy-silver-consumer-confidence-declines-1238981457/",3.0,8.0,STRONG TARGET. DTC-first model. Fine jewelry bracelets and cuffs with precise sizing. Online measurement guides.
28.0,Fine jewelry (bracelets & bangles),DoDo,Qualified,Italy,EU / Global,Jewelry,Charm bracelet specialist. Core product requires wrist measurement for proper fit. Rigid component system with fixed sizes.,3.0,"€14.7B (Kering 2025)
 Source: https://formamagazine.today/posts/kering-jewellery-division-2026/",2.0,https://www.dodojewels.com,"DTC, Retail","Jewellery Shines in Kering's 2025 Results — DoDo Performed Very Well — JewelleryNet, Feb 12, 2026
 https://news.jewellerynet.com/en/jnanews/news/26945/021026-Jewellery-shines-in-Kerings-2025-results",2.0,7.0,Kering jewelry subsidiary under Pomellato. Charm bracelet specialist. High relevance but small scale within Kering.
29.0,Fine jewelry (bracelets & bangles),Nomination,Qualified,Italy (Florence/Sesto Fiorentino),EU / Global,Jewelry,Composable charm bracelet pioneer. Each bracelet built from individual links; exact wrist sizing is REQUIRED to determine number of links. Has dedicated bracelet size guide page with printable measuring tool. High pain score due to composable link system requiring precise sizing.,3.0,"N/A (private)
 Source: NOT FOUND",2.0,https://www.nomination.com,"Retail + DTC (boutiques, wholesale, e-commerce)","NOT FOUND (2025-2026 media not found in English)
 NOT FOUND",1.0,6.0,Italian composable charm bracelet brand. Direct competitor to Pandora's charm concept. Bracelets built link-by-link — precise wrist measurement determines link count. Dedicated sizing page at nomination.com/size-guides-bracelets. Very high relevance for wrist sizing ICP. | Funding/revenue source still needs verification; not disqualifying under updated rule. | Recent media mention not found; coverage score kept low.
30.0,Sports & outdoor wearables,ASUS VivoWatch,Qualified,Taiwan (Taipei),Global / US-EU online or retail presence indicated,Sports & outdoor — Health / sport wrist wearable,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",3.0,"$16.1B (2024, ASUS consolidated)
 https://companiesmarketcap.com/asus/annual-reports/",3.0,https://www.asus.com/mobile-handhelds/wearable-healthcare/asus-vivowatch/,DTC + Retail + Marketplace,"Meet the VivoWatch 6, ASUS' Latest Fitness Smartwatch — Phandroid, June 2026 — https://phandroid.com/2026/06/02/meet-the-vivowatch-6-asus-latest-fitness-smartwatch/",2.0,8.0,"Passes revised hard filters based on provided source fields.
 Coverage score adjusted from 3 to 2 under revised Tier 1/trade rules."
31.0,Sports & outdoor wearables,GOLFBUDDY / Golfzon,Qualified,"South Korea (Bucheon, Gyeonggi-do); South Korea (Seoul)",Global / US-EU online or retail presence indicated,Sports & outdoor — Golf GPS watch; Golf wearable parent,Golf GPS watches must stay securely fitted for round tracking and on-wrist usability; poor fit increases returns and unreliable use.,3.0,"$417M (GOLFZON 2024)
 https://tracxn.com/d/companies/golfbuddy/__6DC-C0prgYoYu-w6-JKUIlTks8XtssCLGG8f9NosHu8
 $417M (GOLFZON 2024, KRW 575B)
 https://stockviz.com/en/215000.KQ/revenue",3.0,"https://en.golfbuddy.com/
 https://www.global.golfzon.com/","DTC + Retail + Amazon; B2B (golf simulators) + DTC (Smart Caddie app, wearables)","GOLFBUDDY Aim W10 GPS Golf Watch deal — Tecmint, ongoing 2025-2026 — https://deals.tecmint.com/sales/golfbuddy-aim-w10-gps-watch
 Golfzon Cloud Announces iOS Expansion of Smart Caddie at 2026 PGA Show — EINPresswire, January 2026 — https://www.einpresswire.com/article/880918971/golfzon-cloud-announces-ios-expansion-of-smart-caddie-at-the-2026-pga-show-orlando-fl-january-21-2026",2.0,8.0,"Merged duplicate/related rows: 15 GOLFBUDDY, 36 Golfzon (GolfzonCloud)
 Passes revised hard filters based on provided source fields."
32.0,Sports & outdoor wearables,Huawei Consumer BG / Huawei Watch,Qualified,China (Shenzhen),Global / US-EU online or retail presence indicated,Sports & outdoor — Running / outdoor smartwatch; Smartwatch / outdoor,"Huawei Watch D2 features ambulatory blood pressure monitoring requiring precise wrist fit and regular calibration; GT5/GT5 Pro require secure fit for TruSeen heart rate and SpO2 sensors; Huawei Watch products (GT, D2, Fit series) include wrist-based heart rate, SpO2, and health monitoring requiring proper fit; Watch D2 specifically requires precise wrist placement for blood pressure measurement",3.0,"CNY862.1B (~21.7B, 2024)
 https://www.huawei.com/en/news/2025/3/annual-report-2024",3.0,"https://consumer.huawei.com/en/wearables/
 https://www.huawei.com","DTC, Retail, Marketplace","Huawei Watch D2 Reviewed — The Technovore, Jun 16, 2025
 https://thetechnovore.com/2025/06/16/huawei-watch-d2-reviewed/
 Huawei Releases 2024 Annual Report: Performance in Line with Forecast — Huawei, Mar 31, 2025
 https://www.huawei.com/en/news/2025/3/annual-report-2024",2.0,8.0,"Huawei wearable product line. Includes Watch GT5 series, Watch D2 (with inflatable cuff for blood pressure), Watch Fit series, and Watch Ultimate. Major player in global smartwatch market.
 Global ICT leader. 2024 revenue CNY862.1B (+22.4% YoY). Consumer business includes smartphones, wearables, PCs, tablets. Strong wearable market share globally. Watch products include GT5, Watch D2 (blood pressure), Watch Fit series.
 Merged duplicate/related rows: 2 Huawei Watch, 6 Huawei
 Passes revised hard filters based on provided source fields.
 Coverage score adjusted from 3 to 2 under revised Tier 1/trade rules."
33.0,Sports & outdoor wearables,Mares,Qualified,Italy,Global / US-EU online or retail presence indicated,Sports & outdoor — Dive computer watch,Dive computer wrist retention is safety-critical underwater. Note per task: score Pain=3 for dedicated dive watches.,3.0,"HEAD Group: ~$400M+ (estimated, private)
 https://www.mares.com/en/about-head-group",3.0,https://www.mares.com,Retail (dealer network) + DTC (website store),"HEAD takes over Aqualung Group — DIVE Magazine, July 1, 2025 — https://divernet.com/scuba-news/head-takes-over-aqualung-group/",2.0,8.0,Passes revised hard filters based on provided source fields.
34.0,Sports & outdoor wearables,Sherwood Scuba,Qualified,United States,Global / US-EU online or retail presence indicated,Sports & outdoor — Dive computer company,Dive computer wrist retention is safety-critical underwater. Note per task: score Pain=3 for dedicated dive watches.,3.0,"HEAD Group: ~$400M+ (estimated)
 https://pitchbook.com/profiles/company/462024-91",3.0,https://www.sherwoodscuba.com,Retail (dealer network),"HEAD takes over Aqualung Group (including Sherwood Scuba) — DIVE Magazine, July 1, 2025 — https://divernet.com/scuba-news/head-takes-over-aqualung-group/",2.0,8.0,Passes revised hard filters based on provided source fields.
35.0,Sports & outdoor wearables,TAG Heuer Connected,Qualified,Switzerland (La Chaux-de-Fonds),Global / US-EU online or retail presence indicated,Sports & outdoor — Premium sport / golf smartwatch,Golf GPS watches must stay securely fitted for round tracking and on-wrist usability; poor fit increases returns and unreliable use.,3.0,"€86.2B / ~$95B (LVMH 2025)
 https://www.lvmh.com/en/financial-calendar/2024-full-year-results",3.0,https://www.tagheuer.com/int/en/tag-heuer-connected-calibre-e5/collection-connected.html,"DTC + Retail (luxury boutiques, authorized dealers)","TAG Heuer Connected Calibre E5 luxury smartwatch test — iTopNews, January 2026 — https://www.itopnews.de/2026/01/test-tag-heuer-connected-calibre-e5-die-teuerste-iphone-uhr/",2.0,8.0,"Passes revised hard filters based on provided source fields.
 Coverage score adjusted from 3 to 2 under revised Tier 1/trade rules."
