#,Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Is spam,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Page type,Page category
24.0,Sustainability In Fast Fashion: How Tech Can Minimize Waste,https://www.forbes.com/councils/forbestechcouncil/2022/01/31/sustainability-in-fast-fashion-how-tech-can-minimize-waste/,en,,200.0,94.0,0.0,1.9016956E7,6.0,11.0,16.0,0.0,0.0,https://3dlook.ai/content-hub/7-emerging-technologies-for-sustainable-fashion-production-in-2022/,• Remember the value of reselling quality garments: Another way to,use tech to increase sustainability,in fast fashion is to create options for reselling. This,"https://3dlook.me/blog/7-emerging-technologies-for-sustainable-fashion-production-in-2022/, https://3dlook.ai/blog/7-emerging-technologies-for-sustainable-fashion-production-in-2022/, https://3dlook.me/content-hub/7-emerging-technologies-for-sustainable-fashion-production-in-2022/","301,301,301",text,false,1,1,0,0,0,1,,,linkfound,2026-04-26 21:20:47,2026-04-26 21:20:47,,Andreas Hassellöf,Article > Guide,Science > Technology > Other; Business; Shopping; Computers and electronics; Home
25.0,22 Random Business Ideas - by Ron Levin,https://ronlevin.substack.com/p/twenty-random-business-ideas,en,,200.0,94.0,0.0,8736714.0,0.0,9.0,18.0,99.0,7.0,https://3dlook.ai/content-hub/connected-fitness-industry/,,connected fitness,,,,text,false,1,0,0,0,0,1,,,linkfound,2025-08-15 11:47:20,2026-02-15 13:52:35,,Ron Levin,,
26.0,"Founder Spotlight: Sean Sinko, ThredX - by Rachel Sterling",https://thepatternmaker.substack.com/p/founder-spotlight-sean-sinko-thredx,en,,200.0,94.0,4.5,8736714.0,0.0,26.0,34.0,0.0,0.0,https://3dlook.ai/,,3DLook,,,,text,false,1,0,0,0,0,1,,,pagefound,2025-07-30 09:03:08,2026-04-01 19:39:25,,Rachel Sterling,,
27.0,"Micro-payments 💵 - by Omar Ismail, CFA - Not So Distant",https://omarismail.substack.com/p/micro-payments-,en,,200.0,94.0,0.0,8736714.0,1.0,12.0,21.0,0.0,0.0,https://3dlook.ai/,,Link,,https://3dlook.me/,301,text,false,1,0,0,0,1,1,,,linkfound,2023-07-23 08:06:55,2026-03-26 22:31:53,,Omar Ismail,Article > Opinion,Finance > Banking > Digital wallets; Internet > Web services > Other
28.0,Checking Out: Future of eCommerce Enablement,https://venturevault.substack.com/p/futureofecommerce,en,,200.0,94.0,0.0,8736714.0,0.0,16.0,28.0,0.0,0.0,https://3dlook.ai/,,3DLook,,https://3dlook.me/,301,text,false,1,0,0,0,0,1,,,pagefound,2025-08-14 23:24:03,2026-05-19 15:27:31,,Stefan Mitu,,
29.0,Fashion Buying Internships Summer 2024 Online - Lida Sheila,https://adelaidewbreena.pages.dev/myhjqq-fashion-buying-internships-summer-2024-online-dinjwhhrf-photos/,,wordpress,200.0,93.0,0.0,3.7327088E7,0.0,13.0,14.0,0.0,0.0,https://3dlook.ai/,Source :,3dlook.ai,,,,text,true,1,1,0,0,0,1,,,pagefound,2024-12-18 13:11:13,2026-02-14 23:27:56,,,,
30.0,Sustainable Fashion Trends 2024 - Luce Tressa,https://mablemelania.pages.dev/ldtjiiy-sustainable-fashion-trends-2024-photos-hesdzpt/,en,wordpress,200.0,93.0,0.0,3.7327088E7,0.0,10.0,12.0,0.0,0.0,https://3dlook.ai/,Source:,3dlook.ai,,,,text,true,0,0,0,0,0,1,,,pagefound,2024-10-12 05:27:27,2026-04-02 02:57:48,,,,
31.0,"$2,900 Burberry Bag Mocked on 'Succession' Season Premiere Goes Viral - Business Insider",https://www.businessinsider.com/2900-dollar-burberry-bag-mocked-succession-season-premiere-goes-viral-2023-3,en,,200.0,92.0,4.5,5684838.0,18.0,25.0,50.0,0.0,3.0,https://3dlook.ai/,According to virtual fitting room company,3DLook,", per Harper's Bazaar UK , Google searches for ""Burberry",https://3dlook.me/,301,text,false,1,1,0,0,0,1,,,linkrestored,2024-01-10 23:10:51,2026-04-27 00:13:28,,,Article > News,Entertainment > TV > TV shows
32.0,"Ukrainian Tech Employee on Leaving Country, Return During War - Business Insider",https://www.businessinsider.com/working-in-tech-in-ukraine-during-war-2023-4,en,,200.0,92.0,4.4,5684838.0,0.0,21.0,37.0,0.0,1.0,https://3dlook.ai/,was encouraged to leave the country by the CEO of,"her company, 3DLook",", which makes technology to allow consumers to virtually try",https://3dlook.me/,301,text,false,1,1,0,0,0,1,,,linkfound,2023-07-30 05:28:57,2026-05-11 07:53:03,,,,
33.0,"A $2,900 Burberry tote was deemed 'ludicrously capacious' by a character on 'Succession.' Fans can't get enough of the memes — and the bag itself. | Business Insider Africa",https://africa.businessinsider.com/entertainment/a-dollar2900-burberry-tote-was-deemed-ludicrously-capacious-by-a-character-on/q15h770,en,,200.0,92.0,0.0,5684838.0,0.0,23.0,48.0,0.0,0.0,https://3dlook.ai/,According to virtual fitting room company,3DLook,", per Harper's Bazaar UK , Google searches for ""Burberry",https://3dlook.me/,301,text,false,1,0,0,0,0,1,,,linkfound,2026-05-06 03:13:57,2026-05-06 03:13:57,,Gabi Stevenson,,
34.0,Comparing VR- and AR-Based Try-On Systems Using Personalized Avatars,https://www.mdpi.com/2079-9292/9/11/1814,en,,200.0,92.0,4.5,1302059.0,12.0,51.0,269.0,0.0,0.0,https://3dlook.ai/,"Body Data Platform, 3D LOOK. Available online:",https://3dlook.me/,(accessed on 3 May 2020).,https://3dlook.me/,301,text,false,1,0,0,0,1,1,,,linkfound,2023-08-20 00:17:37,2026-02-18 17:02:28,,,Article > Comparison,Shopping > Apparel > Services; Computers and electronics > Consumer electronics > Virtual reality devices; Internet > Web services > Development
35.0,Assessment of Textile Material Properties and the Impact of Digital Ink-Jet Fabric Printing on 3D Simulation as a Sustainable Method for Garment Prototyping,https://www.mdpi.com/2071-1050/17/4/1388,en,,200.0,92.0,4.4,1302059.0,5.0,40.0,192.0,0.0,0.0,https://3dlook.ai/content-hub/virtual-fitting-room-for-ecommerce/,2023 3D LOOK. Available online:,https://3dlook.me/content-hub/virtual-fitting-room-for-ecommerce/,(accessed on 7 March 2024).,https://3dlook.me/content-hub/virtual-fitting-room-for-ecommerce/,301,text,false,1,0,0,0,1,1,,,pagefound,2025-04-20 16:21:18,2026-05-24 22:06:19,,,Article > Research,Science > Technology > Other; Computers and electronics > CAM; Entertainment > Design > Design
36.0,Simple Hybrid Camera-Based System Using Two Views for Three-Dimensional Body Measurements,https://www.mdpi.com/2073-8994/16/1/49,en,,200.0,92.0,4.4,1302059.0,4.0,45.0,147.0,0.0,0.0,https://3dlook.ai/,3Dlook.Me. 2023. Available online:,https://3dlook.me/,(accessed on 11 December 2023).,https://3dlook.me/,301,text,false,1,0,0,0,1,1,,,pagefound,2024-09-17 19:12:04,2026-01-18 15:43:52,,,Article > Research,Science > Computer science > Artificial intelligence; Computers and electronics > Software > Multimedia
37.0,How Technology Characteristics and Social Factors Shape Consumer Behavior in Artificial Intelligence-Powered Fashion Curation Platforms,https://www.mdpi.com/0718-1876/21/3/81,en,,200.0,92.0,0.0,1302059.0,11.0,38.0,227.0,0.0,0.0,https://3dlook.ai/content-hub/artificial-intelligence-in-fashion/,. 2024. Available online:,https://3dlook.ai/content-hub/artificial-intelligence-in-fashion/,(accessed on 2 October 2025).,,,text,false,1,0,0,0,1,1,,,linkfound,2026-03-03 04:23:44,2026-04-05 16:53:49,,,Article > Research,Computers and electronics > Software > Intelligent personal assistants; Science > Computer science > Artificial intelligence; Business
38.0,Announcing the TC Top Picks for Disrupt SF 2018 | TechCrunch,https://techcrunch.com/2018/07/12/announcing-the-tc-top-picks-for-disrupt-sf-2018/,en,wordpress,200.0,92.0,5.0,701170.0,37.0,79.0,99.0,0.0,0.0,https://3dlook.ai/,,3DLOOK:,,"http://3dlook.me/, https://3dlook.me/","301,301",text,false,0,1,0,0,1,1,,,linkrestored,2023-07-26 02:30:45,2026-05-28 05:06:13,,Emma Comeau,Article > News,Business > Business services > Corporate events; Internet > Web services > Development; Computers and electronics > Software > Business; Jobs and education
39.0,Ukrainian startups show astounding resilience | TechCrunch,https://techcrunch.com/2023/02/24/a-year-on-from-russias-invasion-ukrainian-startups-show-astounding-resilience/,en,wordpress,200.0,92.0,5.0,701170.0,33.0,113.0,160.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,https://3dlook.me/,301,text,false,1,1,0,0,1,1,,,linkrestored,2023-07-21 19:51:25,2026-05-26 09:22:43,,Mike Butcher,Article > Roundup,Business > Business services > Consulting; Internet > Web services > Other; News > Business news > Company news; Computers and electronics; Society
40.0,Startup Alley - Disrupt SF 2018 | TechCrunch,https://techcrunch.com/events/disrupt-sf-2018/startup-alley/,en,wordpress,200.0,92.0,4.6,701170.0,17.0,74.0,92.0,0.0,0.0,https://3dlook.ai/,,3DLOOK:,,"http://3dlook.me/, https://3dlook.me/","301,301",text,false,1,1,0,0,1,1,,,linkrestored,2023-07-27 05:24:46,2026-04-24 12:03:38,,,Site page > Services,Business > Business services > Corporate events; Internet > Web services > Development; Computers and electronics
41.0,Disrupt SF 2018 Content Tracks - Disrupt SF 2018 | TechCrunch,https://techcrunch.com/events/disrupt-sf-2018/disrupt-sf-2018-content-tracks/,en,wordpress,200.0,92.0,4.6,701170.0,1.0,53.0,67.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,,"http://3dlook.me/, https://3dlook.me/","301,301",text,false,1,1,0,0,1,1,,,pagefound,2024-05-09 19:13:56,2026-04-09 21:10:01,,,Article > Roundup,Computers and electronics > Enterprise technology; Science > Technology; Business > Business services; Internet > Web services; Entertainment; Games
42.0,Body scanning system 3DLOOK raises $1 million to measure your corpus | TechCrunch,https://techcrunch.com/2018/07/30/body-scanning-app-3dlook-raises-1-million-to-measure-your-corpus/,en,wordpress,200.0,92.0,4.5,701170.0,7.0,20.0,37.0,0.0,0.0,https://3dlook.ai/,"the heels of Original Stitch’s Bodygram , another 3D scanner,",3DLOOK,", has entered into the fray with a $1 million",https://3dlook.me/,301,text,false,0,1,0,0,1,1,,,linkrestored,2023-07-29 04:38:37,2026-05-21 20:15:33,,John Biggs,Article > News,Computers and electronics > CAM; Science > Technology > Robotics; Business > Manufacturing > Factory automation; Internet > Web services
43.0,Apply for a free Startup Alley Exhibitor spot at Disrupt SF 2019 | TechCrunch,https://techcrunch.com/2019/05/20/apply-for-a-free-startup-alley-exhibitor-spot-at-disrupt-sf-2019/,en,wordpress,200.0,92.0,0.0,701170.0,5.0,16.0,28.0,0.0,0.0,https://3dlook.ai/,,3DLOOK,’s mobile body-scanning technology — designed to provide personalization in,https://3dlook.me/,301,text,false,0,1,0,0,1,1,,,linkfound,2023-07-27 16:03:14,2026-05-21 00:37:37,,Priya Gupta,Article > News,Business > Small business > Business formation; Internet > Web services > Development; Jobs and education > Jobs
44.0,【画像から全身を採寸】購入率40%増加！米国のアパレル企業で導入実績多数。3DLOOKの導入代行を開始 | 合同会社SHINGのプレスリリース,https://prtimes.jp/main/html/rd/p/000000007.000129340.html,ja,,200.0,91.0,0.0,4257722.0,2.0,9.0,20.0,0.0,0.0,https://3dlook.ai/content-hub/country-vogue-boutique-3dlook-case-study/,,https://3dlook.ai/content-hub/country-vogue-boutique-3dlook-case-study/,,,,text,false,1,1,1,0,1,1,,,pagefound,2024-03-29 10:52:01,2026-05-08 07:41:23,,,Article > News,Shopping > Apparel > Services; Business > Retail trade > Technology; Computers and electronics > Software; Internet > Web services > Development
45.0,【画像から全身を採寸】購入率40%増加！米国のアパレル企業で導入実績多数。3DLOOKの導入代行を開始 | 合同会社SHINGのプレスリリース,https://prtimes.jp/main/html/rd/p/000000007.000129340.html,ja,,200.0,91.0,0.0,4257722.0,2.0,9.0,20.0,0.0,0.0,https://3dlook.ai/content-hub/slo-jeans-and-mobile-tailor/,,https://3dlook.ai/content-hub/slo-jeans-and-mobile-tailor/,,,,text,false,1,1,1,0,1,1,,,pagefound,2024-03-29 10:52:01,2026-05-08 07:41:23,,,Article > News,Shopping > Apparel > Services; Business > Retail trade > Technology; Computers and electronics > Software; Internet > Web services > Development
46.0,【画像から全身を採寸】購入率40%増加！米国のアパレル企業で導入実績多数。3DLOOKの導入代行を開始 | 合同会社SHINGのプレスリリース,https://prtimes.jp/main/html/rd/p/000000007.000129340.html,ja,,200.0,91.0,0.0,4257722.0,2.0,9.0,20.0,0.0,0.0,https://3dlook.ai/content-hub/introducing-uniform-pro/,,https://3dlook.ai/content-hub/introducing-uniform-pro/,,,,text,false,1,1,1,0,1,1,,,pagefound,2024-03-29 10:52:01,2026-05-08 07:41:23,,,Article > News,Shopping > Apparel > Services; Business > Retail trade > Technology; Computers and electronics > Software; Internet > Web services > Development
47.0,"3DLook: 3D Model of Your Body, Outfit and Masks for iOS - Free download and software reviews - CNET Download",https://download.cnet.com/3dlook-3d-model-of-your-body-outfit-and-masks/3000-31711_4-77430986.html,en,,200.0,91.0,4.4,1.0813697E7,0.0,7.0,8.0,0.0,0.0,https://3dlook.ai/,By,3DLook,,"http://www.3dlook.me/, https://www.3dlook.me/","301,301",text,false,0,1,0,0,0,1,,,linkfound,2024-05-03 12:28:57,2026-04-03 00:05:36,,,,
48.0,3DLook para iOS - Descargas gratis y análisis de software - CNET Download,https://download.cnet.com/es/3dlook/3000-31711_4-77429166.html,es,,301.0,91.0,0.0,1.0813697E7,0.0,7.0,8.0,0.0,0.0,https://3dlook.ai/,By,3DLook,,"http://www.3dlook.me/, https://www.3dlook.me/","301,301",text,false,0,1,0,0,0,1,pageredirected,,pagefound,2025-02-06 02:17:40,2025-08-27 09:04:27,2026-05-28 07:32:13,,,
49.0,"3DLook: 3D Model of Your Body, Outfit and Masks para iOS - Descargas gratis y análisis de software - CNET Download",https://download.cnet.com/es/3dlook-3d-model-of-your-body-outfit-and-masks/3000-31711_4-77430986.html,es,,301.0,91.0,0.0,1.0813697E7,0.0,7.0,8.0,0.0,0.0,https://3dlook.ai/,By,3DLook,,"http://www.3dlook.me/, https://www.3dlook.me/","301,301",text,false,0,1,0,0,0,1,pageredirected,,pagefound,2025-01-18 08:00:16,2025-08-08 02:10:59,2025-10-02 03:23:39,,,
