#|Company name|HQ country|Market|Segment|Why wrist = must|Pain Score|Funding / revenue|Funding score|Website|E-com type|Last media mention = title + source link with anchor|Coverage score|Priority score|Notes / flags
62|Abbott Laboratories (FreeStyle Libre)|United States|Global market|CGM (FreeStyle Libre, Libre Rio, Lingo) — wearable biosensor|FreeStyle Libre is a CGM sensor worn on the upper arm — not wrist-worn. Abbott's Lingo (OTC CGM for general wellness) is also upper arm. No wrist-worn device. However, Abbott's Libre portfolio is the #1 CGM globally, and CGM data is increasingly integrated into wrist wearables (Apple Watch, Garmin, Oura).|1|PUBLIC (NYSE:ABT). FY2024 revenue $41.4B. Diabetes Care segment grew ~20% organic. FreeStyle Libre ~$6B+ annual revenue. Market cap ~$200B. 114,000+ employees.|3|https://www.abbott.com|B2B (pharmacy, DME) + D2C|Abbott posts 2024 medical device sales gains following structural heart, CGM launches — FierceBiotech — Jan 22, 2025 — https://www.fiercebiotech.com/medtech/abbott-posts-2024-medical-device-sales-gains-following-structural-heart-cgm-launches|3|7|FILTER PASS: Public (NYSE:ABT). $41.4B revenue. CGM leader (upper arm sensor). No wrist product. OTC Lingo CGM (non-prescription) launched 2024. Libre Rio for Type 2 non-insulin users. Key wearable data source for wrist health platforms.
63|Medtronic plc|Ireland / US|Global market|Medical device company with acute care monitoring wearables|Medtronic's Acute Care & Monitoring (ACM) portfolio includes wearable monitors for hospital and remote use. Corsano CardioWatch distribution deal (Jun 2026) adds multi-parameter wrist monitoring. Zephyr performance monitoring system uses chest strap (not wrist). No direct wrist BP product, but ACM division expanding into wrist-worn continuous monitoring.|2|PUBLIC (NYSE:MDT). FY2025 revenue $33.5B. ACM segment ~$1.5B (flat YoY). Market cap ~$110B. 95,000+ employees. Largest pure-play medical device company globally.|3|https://www.medtronic.com|B2B (hospitals, clinics)|Medtronic expands Acute Care & Monitoring wearables portfolio with distribution agreement for Corsano multi-parameter wearable — Medtronic News — Jun 4, 2026 — https://news.medtronic.com/Medtronic-expands-its-Acute-Care-Monitoring-wearables-portfolio-in-the-U-S-with-a-new-distribution-agreement-for-the-Corsano-TM-multi-parameter-wearable|2|7|FILTER PASS: Public (NYSE:MDT). $33.5B revenue. ACM division distributing Corsano wrist wearable. No own-brand wrist product. Major B2B hospital player expanding into wearables. Partnership strategy for wrist-worn monitoring.
64|Koninklijke Philips N.V.|Netherlands|Global market|Health technology company with patient monitoring wearables|Philips patient monitoring portfolio includes wearable biosensors (patch-based, not wrist-worn). Philips Wearable Biosensor (patch) measures ECG, HR, respiratory rate, temperature. No wrist-worn device. Monitoring division includes hospital and home telemetry solutions with wearable form factors.|1|PUBLIC (AMS:PHIA). FY2024 revenue EUR 18.0B (~$19.5B). Connected Care segment (includes monitoring) EUR 5.4B. Market cap ~EUR 28B. 67,800 employees. Global operations in 100+ countries.|3|https://www.philips.com/healthcare|B2B (hospitals, clinics)|Philips publishes its Annual Report 2024 — Nasdaq — Feb 21, 2025 — https://www.nasdaq.com/press-release/philips-publishes-its-annual-report-2024-2025-02-21|3|7|FILTER PASS: Public (AMS:PHIA). EUR 18B revenue. Wearable biosensor (patch form factor). No wrist-worn product. Major hospital monitoring player. Connected Care strategy includes RPM and home monitoring.
65|GE HealthCare Technologies|United States|Global market|Medical technology with patient monitoring (wearable and bedside)|GE HealthCare's Patient Care Solutions includes wearable and mobile monitors (continuous, wearable, transport monitors). No dedicated wrist-worn consumer device. Their monitoring portfolio ranges from spot-check to continuous multi-parameter monitors including wearable patches for cardiac telemetry.|2|PUBLIC (NASDAQ:GEHC). FY2024 revenue $19.7B. Patient Care Solutions (PCS) segment ~$5B+. Market cap ~$40B. 51,000+ employees. Spun off from GE in 2023.|3|https://www.gehealthcare.com|B2B (hospitals, clinics)|GE HealthCare reports fourth quarter and full year 2024 financial results — GE HealthCare Investor Relations — Feb 13, 2025 — https://investor.gehealthcare.com/news-releases/news-release-details/ge-healthcare-reports-fourth-quarter-and-full-year-2024|3|8|FILTER PASS: Public (NASDAQ:GEHC). $19.7B revenue. Patient monitoring includes wearable telemetry. No consumer wrist device. Hospital-grade wearable monitors. B2B only.
66|BioIntelliSense Inc.|United States|Global market|Medical-grade wearable (BioButton) for continuous vital sign monitoring|BioButton is a small adhesive patch worn on the upper left chest — not a wrist-worn device. It continuously monitors skin temperature, respiratory rate, HR, and posture. No wrist product and no BP measurement. The adhesive patch design avoids wrist sizing issues entirely.|1|Series B $45M. Total funding ~$90M+. Valuation ~$350M. Revenue not disclosed (private). FDA cleared. 89 employees. Founded 2019. Investors include Dexcom Ventures, Fresenius Medical Care Ventures.|2|https://www.biointellisense.com|B2B (hospitals, health systems)|BioIntelliSense secures $45M Series B financing; total raised ~$90M — ZoomInfo / iRhythm partnership — 2025|2|5|FILTER VERIFIED: Series B $45M, total $90M+. FDA-cleared wearable patch (not wrist). Chest-mounted BioButton. Partnership with iRhythm for pulse oximetry license. Strong RPM play but no wrist-wearable product.
67|VitalConnect Inc.|United States|Global market|Wearable biosensor patch (VitalPatch) for ambulatory cardiac monitoring|VitalPatch is an adhesive chest/upper-arm patch for continuous ECG, HR, RR, temperature — not a wrist-worn device. The patch form factor avoids wrist sizing issues. No wrist-worn product or BP measurement. Used in-hospital and at-home for continuous cardiac monitoring.|1|$100M financing (Feb 2025, equity + debt). Total raised ~$193.3M across 4 rounds. Revenue not disclosed. FDA cleared. Series D equivalent. Investors: Ally Bridge Group, EW Healthcare Partners, MVM Life Science Partners.|2|https://vitalconnect.com|B2B (hospitals, RPM)|VitalConnect Secures $100 Million in Financing — VitalConnect Press — Feb 19, 2025 — https://vitalconnect.com/vitalconnect-secures-100m-financing/|2|5|FILTER VERIFIED: $100M financing, total $193M+. Wearable patch (chest/upper arm). No wrist product. FDA cleared for cardiac monitoring. Strong hospital RPM presence. Series D stage private company.
68|iRhythm Technologies Inc.|United States|Global market|Wearable ECG patch (Zio) for ambulatory cardiac monitoring|Zio patch is an adhesive chest-worn monitor for up to 14 days of continuous ECG — not a wrist-worn device. No wrist product. Zio XT and Zio AT (real-time wireless) are small patches worn on the chest. No BP measurement. Zio is the most widely prescribed ambulatory cardiac monitor in the US.|1|PUBLIC (NASDAQ:IRTC). FY2024 revenue ~$531M (+14.5% YoY). Q1 2024 revenue $131.5M. Market cap ~$5B. Zio has monitored 5M+ patients. #89 in Medtech Big 100. FDA cleared.|3|https://www.irhythmtech.com|B2B (physicians, hospitals)|iRhythm Technologies Announces Fourth Quarter and Full Year 2024 Financial Results — Nasdaq — Feb 20, 2025 — https://www.nasdaq.com/press-release/irhythm-technologies-announces-fourth-quarter-and-full-year-2024-financial-results|2|6|FILTER PASS: Public (NASDAQ:IRTC). ~$531M revenue. Zio patch (chest-worn ECG, not wrist). Most prescribed ambulatory cardiac monitor in US. No BP measurement. Licensed BioIntelliSense pulse oximetry tech (2024). B2B only.
69|Google LLC / Fitbit (Alphabet Inc.)|United States|Global market|Consumer smartwatch (Pixel Watch) and fitness trackers (Fitbit) with health tracking|Pixel Watch (with Fitbit integration) uses wrist-based optical HR, SpO₂, ECG, skin temperature sensors. Correct band tension is critical for Fitbit's PurePulse optical HR sensor — loose bands cause >15% HR reading error during exercise. Fitbit's Stress Management Score and Sleep Profile depend on consistent overnight wear with proper band positioning.|3|Part of Alphabet Inc. (NASDAQ:GOOGL). Alphabet FY2024 revenue $350B+. Google Health/Fitbit segment not broken out. Fitbit acquired for $2.1B in 2021. Pixel Watch is key hardware for Fitbit subscription growth. Alphabet market cap ~$2T.|3|https://store.google.com/product/pixel_watch|B2C retail (D2C + marketplace)|Google Struggles to Establish Its Leadership in the Consumer Wearables Market — Lux Research — Dec 30, 2024 — https://luxresearchinc.com/blog/google-struggles-to-establish-its-leadership-in-the-consumer-wearables-market/|2|8|FILTER PASS: Subsidiary of public company (NASDAQ:GOOGL). Fitbit brand + Pixel Watch hardware. Consumer wearable with FDA-cleared ECG. No BP monitoring. Fitbit Premium subscription ($10/mo). Google integrating Fitbit deeper into Pixel ecosystem. No BP measurement feature.
70|Ultrahuman|India|Global market|Smart ring (Ring Air) with health tracking, CGM (M1 Live), blood testing|Ultrahuman Ring Air uses optical PPG sensors on the finger for HR, HRV, SpO₂, skin temperature, and movement. Ring sizing is critical — available in sizes 5-13 (EU). Incorrect size causes sensor misalignment or ring rotation, making optical measurements unreliable. Ring Air uses no subscription model, differentiating from Oura.|3|Series B $35M (Mar 2024). Total funding ~$120M+ (exploring $120M round at $600M valuation, Apr 2025). FY25 revenue ₹565 Cr (~$68M, 5.4x YoY growth). Profitable since FY25 (₹73 Cr net profit). Unicorn aspirations.|2|https://www.ultrahuman.com|D2C (own site)|Ultrahuman Records 5X Revenue Surge in FY25, Turns Profitable for the First Time — VOH Network — Sep 2025 — https://vohnetwork.com/news/finance/ultrahuman-records-5x-revenue-surge-in-fy25-turns-profitable-for-the-first-time|2|7|FILTER VERIFIED: Series B $35M, total ~$120M. ~$68M revenue. Smart ring (finger, not wrist). Profitable. Indian unicorn candidate. No FDA clearance. Sizing kit included. CGM M1 Live and blood testing Blood Vision expanding health ecosystem.
71|Fossil Group Inc.|United States|Global market|Hybrid smartwatches (Fossil Gen 6, hybrid HR) — consumer fashion wearables|Fossil makes hybrid smartwatches (analog with hidden digital display) and Wear OS smartwatches. These track steps, HR, SpO₂ via wrist-based optical sensors. Band sizing uses standard watch lug widths (18-24mm) and adjustable straps. Fossil exited pure smartwatch business in 2024 but continues hybrid and connected watches.|2|PUBLIC (NASDAQ:FOSL). FY2024 revenue $1.14B (declining from $1.41B in 2023). Exiting smartwatch category. Market cap ~$50M. Net loss. 6,000+ employees. Strong brand licensing portfolio (Michael Kors, Skagen, Diesel, Armani).|2|https://www.fossil.com|B2C retail (D2C + retail stores)|Fossil Group Reports Fourth Quarter and Full Year 2024 Results — Nasdaq — Mar 12, 2025 — https://www.nasdaq.com/press-release/fossil-group-inc-reports-fourth-quarter-and-full-year-2024-results-2025-03-12|2|6|FILTER EDGE CASE: Public (NASDAQ:FOSL). $1.14B revenue. EXITING smartwatch category (2024). Focus shifting to hybrid watches and traditional analog. Minimal health features. Declining revenue. Low priority — included because still public and makes wrist-worn wearables.
72|Sky Labs Inc.|South Korea|Global market|Ring-type medical device for AFib detection and BP monitoring|Sky Labs' CART-I Plus is a ring-type (finger-worn) medical device for continuous AFib detection and BP monitoring using PPG and PTT (pulse transit time). Ring sizing is critical — wrong size causes venous congestion or sensor misalignment. Unlike wrist devices, finger-based PTT measurement is sensitive to finger temperature and peripheral perfusion.|3|Series C $15.6M (Sep 2023). Total funding ~$41.1M. Private company. Estimated revenue <$10M (early commercial stage). Partnered with Bayer for healthcare innovation. Clinical trials with Seoul National University Hospital. CE marked, MFDS Korea approved.|2|https://www.skylabs.io|B2B (clinical, pharma) + B2C|Sky Labs, maker of ring-type BP monitor, bags $15M Series C — Tech in Asia — Oct 17, 2023 — https://www.techinasia.com/sky-labs-series-c-funding|2|7|FILTER VERIFIED: Series C $15.6M, total $41.1M. Ring-type AFib + BP monitor. CE marked. Clinical validation ongoing. Partnership with Bayer. No FDA clearance yet. Korean healthtech startup. Ring form factor (finger, not wrist).
73|Hinge Health Inc.|United States|Global market|Digital MSK clinic platform with wearable motion sensors|Hinge Health uses wearable motion sensors (typically placed on lower back, not wrist) for exercise therapy guidance. The platform includes physical therapy, health coaching, and education. No wrist-worn product. The wearable sensors are small adhesive devices for movement tracking during exercise sessions.|1|PUBLIC (NYSE:HNGE). IPO 2025. Series D $300M (2024, at $6.5B valuation). Total raised ~$600M+. FY2024 revenue ~$300M+. 1,000+ employees. Serves 25M+ members through 600+ employer/health plan customers.|3|https://www.hingehealth.com|B2B (employers, health plans)|Hinge Health is announcing a $300M Series D round — Hinge Health Press — 2024 — https://www.hingehealth.com/gb/en/resources/press-releases/hinge-health-raises-series-d/|2|6|FILTER PASS: Public (NYSE:HNGE). $300M+ revenue. Series D $300M. Digital MSK with wearable sensors (lower back/limb, not wrist). No wrist or BP product. Included as digital health platform with wearable sensor integration.
74|Omada Health Inc.|United States|Global market|Digital chronic care platform with connected device integration|Omada Health's digital platform integrates with wireless BP monitors, glucose meters, scales, and activity trackers. Their virtual care programs cover diabetes, hypertension, MSK, and behavioral health. Omada uses existing consumer wearables (not own-brand) for activity tracking. No wrist-worn device. BP integration uses standard upper arm cuffs.|1|IPO (Jun 2025, Nasdaq). Series E $192M (2022). Total raised ~$660M+. FY2024 revenue $169.8M (+38% YoY). Valuation ~$1B (2022). 800+ employees. Customers: health plans, employers. Pre-IPO valuation $1B+|2|https://www.omadahealth.com|B2B (health plans, employers)|Omada Health Files for IPO; Reports $169.8M Revenue in 2024 — Medical Executive Post — May 13, 2025 — https://medicalexecutivepost.com/2025/05/13/omada-digital-health-company-files-for-ipo/|2|5|FILTER PASS: Public (IPO Jun 2025). $169.8M revenue. Series E $192M. Digital chronic care platform. No own-brand wearable — integrates with third-party devices (BP cuffs, CGM, scales). No wrist product. Worth including as digital health platform with connected device ecosystem.
