"#","Company name","HQ country","Market","Segment","Why wrist = must","Pain Score","Funding / revenue","Funding score","Website","E-com type","Last media mention = title + source link with anchor","Coverage score","Priority score","Notes / flags"
"11","Aktiia / Hilo","Switzerland","Global market","Wrist BP Monitor (cuffless continuous)","Hilo is a cuffless optical wrist band measuring BP 25×/day via PPG sensors. Requires monthly cuff calibration. Snug consistent wrist contact is essential; loose fit causes light leakage and motion artifacts degrading accuracy.","3","Series B $42M (May 2025), total >$100M. Rebranded to Hilo. Source: https://hilo.com/en-eu/blogs/pre/hilo-42m-series-b-rebrand","3","https://hilo.com / https://aktiia.com","D2C","FDA clears first OTC cuffless blood pressure wearable — Hilo band by Aktiia — fiercebiotech.com — Jul 9, 2025; WIRED review — Feb 27, 2026","2","8","FILTER EDGE CASE: Passed. Series B+, FDA cleared, global (EU CE marked + US FDA). Strong contender."
"12","Empatica","US / Italy","Global market","Medical Watch (EmbracePlus, EpiMonitor for epilepsy)","EmbracePlus wristband uses optical sensors for pulse, respiratory rate, EDA, sleep — but does NOT measure blood pressure. Different band options: Standard Silicone 95–222 mm, Stretchable 110–280 mm.","1","Series B (2022). Total raised $30.9M over 5 rounds. FDA cleared. Source: https://tracxn.com/d/companies/empatica/__CaWxYxntKLZ4Ve4E71ZJMxMUGeNvlpuWKSNs4loXHn8/funding-and-investors","2","https://www.empatica.com","B2B","Empatica receives FDA clearance for cardiac digital biomarkers (pulse + respiratory rate) — clinlabint.com — 2025; EmbraceMini actigraphy watch launched Jun 2025","2","5","Passed. Series B, FDA cleared, global (US, UK, EU, AU, NZ, CA). EpiMonitor is life-critical seizure detection."
"13","iHealth Labs","US / China","Global market","Wrist BP Monitor + RPM devices","Standard upper arm cuff fits 8.7–16.5 in (one-size-fits-most). No wrist-based continuous monitoring available.","1","Subsidiary of Andon Health (SHE:002432), public Chinese company. Parent acquiring full 100% ownership. Source: https://www.marketscreener.com/quote/stock/ANDON-HEALTH-CO-LTD-11367151/news/Andon-Health-Moving-to-Full-Ownership-of-iHealth-Subsidiary-49042170/","3","https://ihealthlabs.com","D2C","iHealth Prime Day deals announced — ihealthlabs.com — Jun 4, 2025; iHealth 3-in-1 test wins Silver Best in Biz Awards — Jan 8, 2025","1","5","Passed. Public parent (Andon Health). US + China sales. FDA cleared BP monitors. RPM platform."
"14","A&D Medical","Japan / US","Global market","Wrist BP Monitor (consumer + clinical)","UA-611 includes cuff for 22–32 cm arms; separate cuff sizes may be available. Wrong size affects accuracy. No wrist-based continuous monitor.","2","Part of A&D Holon Holdings (TYO:7745), public Japanese company. Parent revenue ~¥50B. Source: https://en.wikipedia.org/wiki/A%26D_Company","3","https://www.aandd.jp (A&D) / https://medical.andonline.com","D2C","A&D Medical UA-611 Blood Pressure Monitor priced at $39.99 — medical.andonline.com — 2025","1","6","Passed. Public parent (TYO:7745). Global medical device company. Wrist BP monitors sold worldwide."
"15","Nihon Seimitsu Sokki / Nissei","Japan","Wrist blood pressure monitors, pulse oximeters, thermometers","Home healthcare devices","Professional-grade BP monitors with multiple cuff size options. Wrong size directly affects measurement accuracy. Primarily clinical/medical distributor sales.","2","Private, 70+ year old company. Revenue undisclosed but listed among top global BP monitor players alongside Omron, A&D, Microlife. Estimated $50-150M.","2","https://www.nissei-kk.co.jp/english/","B2B","Nissei blood pressure monitors available through medical distributors — habdirect.com — 2025","2","6","FILTER FAIL: Private company (not public, not Series B+). Founded 1950, very established Japanese manufacturer. Supplies components to Sony, Omron, Canon, Sanyo, Seiko, Samsung. FDA 510(k) clearance for wrist BP (K080177). Global distribution but likely low on innovation/startup metrics."
"16","Bosch + Sohn / boso","Germany","Wrist and upper arm blood pressure monitors","Home healthcare devices, clinical BP monitoring","boso medicus X comes with multiple cuff size options. Wrong size directly affects measurement accuracy.","2","Private family-owned German manufacturer. Revenue undisclosed but established niche player in BP monitoring. Estimated $10-50M.","2","https://www.boso.de","B2C retail","boso medicus X wins Stiftung Warentest top rating (5/2016, 11/2018, 9/2020) — medicalexpo.com","2","6","FILTER FAIL: Private company (not public, not Series B+). Founded 1965, spin-off from Bosch & Speidel. Well-respected German brand with Stiftung Warentest awards. Focused exclusively on BP monitoring and cardiovascular diagnostics. Strong European presence but limited global brand recognition."
"17","Contec Medical Systems","China","Wrist blood pressure monitors, SpO₂, ECG, patient monitoring equipment","Medical diagnostic and monitoring equipment","ABPM70 wearable 24h ambulatory BP monitor with detachable cuff. Multiple cuff sizes available; wrong size causes inaccurate readings.","2","PUBLIC (Shenzhen 300869.SZ). FY2024 revenue CNY 479.8M (~$66M), down 35.8% YoY from CNY 747M. Market cap ~CNY 2.5B. Revenue peaked at CNY 1.4B in 2020 (COVID demand).","2","https://www.contecmed.com","B2B","Contec ABPM70 wearable ambulatory blood pressure monitoring device — contechealth.com — 2025","2","6","FILTER PASS: Public company (Shenzhen Stock Exchange 300869.SZ). Post-COVID revenue decline (from CNY 1.4B peak in 2020 to CNY 480M in 2024). Strong R&D in medical monitoring. International sales through distributors. WSJ and Reuters carry financial data. Wrist BP/pulse-ox products are key offerings alongside larger patient monitors."
"18","Pic Solution / Artsana Group","Italy","Global (Chicco brand in 120+ countries; Pic Solution primarily EU + international)","Wrist BP + home medical devices (glucometers, nebulizers, thermometers)","Connected health devices use traditional cuff-based BP monitors paired with a mobile app. No wrist-worn continuous monitoring solution.","2","PRIVATE Italian group, founded 1946. Revenue: €1.3B (2023, per Wikipedia). Investindustrial acquired 60% stake in 2016. Estimated $1B-$5B annual revenue range (SignalHire). 2,814 employees (2023). NOT publicly traded and no Series B+ (mature family-founded conglomerate). Healthcare division (Pic Solution) is ~13% of group revenue = ~€170M.","3","https://www.picsolution.com / https://www.artsana.com","B2B","Theras Group acquisisce Pic Solution da MTD Group — Il Giornale d'Italia — https://www.ilgiornaleditalia.it/news/mondo-imprese/757633/theras-group-acquista-pic-solution-con-l-operazione-il-fatturato-passa-da-131-nel-2024-a-oltre-250-mln-target-300-mln-nel-medio-periodo.html","1","6","FILTER EDGE CASE: Private group with €1.3B revenue but not Series B+ (mature, PE-backed). Investindustrial owns 60% since 2016. Healthcare division (Pic Solution) is ~13% of group, still ~€170M. Massive distribution network via Chicco and Prenatal. Wrist BP is a small but necessary SKU in a huge portfolio. Low media visibility for medical devices specifically. Artsana Group sustainability report shows headcount reduction of 15% in 2023 (reorganization)."
"19","Biobeat","Israel","Global market","Wrist RPM Monitor (cuffless BP + vital signs)","Primary product is a medical-grade chest patch (not wrist-worn) for 24h cuffless ABPM. Wrist-watch version also exists. Cuffless design eliminates cuff sizing issues.","1","Series B $50M (Jan 2026). Total funding $50M+. FDA cleared. Source: https://www.medtechdive.com/news/biobeat-raises-50m-cuffless-blood-pressure/808817/","2","https://www.bio-beat.com","B2B","Biobeat raises $50M to commercialize cuffless blood pressure monitor — Yahoo News — https://www.yahoo.com/news/articles/biobeat-raises-50m-commercialize-cuffless-035536837.html","2","5","Passed. Series B $50M. FDA cleared ABPM system. B2B clinical focus. Global (US + Israel)."
"20","Microlife","Switzerland / Taiwan","Global market","Wrist BP Monitor (consumer + clinical)","Traditional upper-arm and wrist BP monitors with cuffs using Gentle+ technology and Cuff Fit Check. Episodic measurements only, not continuous.","2","Private company. Revenue not disclosed. Global presence (Switzerland HQ, Taiwan manufacturing). Est. $100M+ revenue based on market position. Needs verification. Source: https://en.wikipedia.org/wiki/Microlife_Corporation","2","https://www.microlife.com","B2C retail","Microlife at ESC Congress 2026 — Microlife News — https://www.microlife.com/company/news-and-events","1","5","Passed (needs revenue verification). Large private, 40+ year old company. Global presence but limited media visibility. Flag: revenue data from PitchBook needed."
"21","Beurer","Germany","Global market","Wrist BP Monitor (consumer health)","Wrist BP monitors with adjustable soft cuffs for episodic measurement. No continuous wrist-worn wearable. Uses oscillometric measurement with position indicators.","2","Private. Revenue ~€230M (2016). 800+ employees. 100+ year old company. Source: https://en.wikipedia.org/wiki/Beurer","2","https://www.beurer.com","D2C","Beurer blood pressure monitors gain US validation — Medical Device Network / Yahoo Finance — https://finance.yahoo.com/news/beurer-blood-pressure-monitors-gain-083232443.html","1","5","FILTER PASSED. Large private, €230M+ revenue. Global retail presence. No VC funding needed (family-owned, 100+ yrs). Strong but low media profile."
"22","Medisana","Germany","Global (Europe primary, Americas, Asia via Amazon/Walmart)","Wrist BP monitors, connected health, wellness devices","Traditional cuff-based BP monitors connected via VitaDock+ app. No dedicated wrist-worn continuous wearable.","2","~$22M revenue (RocketReach estimate, ~108 employees); private GmbH, no recent funding rounds. Taken private in 2016.","2","https://www.medisana.com","D2C","Medisana — Health & Wellness product catalog 2026 — Medisana.com — https://www.medisana.com/en/","1","5","Filter VERIFIED: Private (post-public, mature). Global sales confirmed (Amazon DE/US, Walmart). Not on exclusion list. Low media visibility but established European home-health brand. Wrist BP is primary category."
"23","Rossmax International","Taiwan (Swiss-designed products)","Global (Taiwan, Asia, Middle East, Africa, Europe, Americas)","Wrist BP monitors, pulse oximeters, thermometers, nebulizers, glucose meters","Flexible cuffs suitable for arms 24–40 cm with optional smaller/larger sizes. No continuous wrist-worn wearable.","2","TWD 3,799.56M (~$115M USD) revenue FY2025. Net loss TWD 29.9M. Public company — no funding rounds.","2","https://www.rossmax.com","B2B","Rossmax launches HealthStation — Rossmax.com — https://www.rossmax.com/en/?Itemid=1230","2","6","Filter VERIFIED: Public (4121.TWO). Global sales confirmed (Taiwan, EMEA, Americas, Asia). Not on exclusion list. Small public company with declining revenue (-1.3% YoY). Swiss design positioning but Taiwan-headquartered. Low web presence."
"24","HoMedics (FKA Brands subsidiary)","United States","Global (US primary, UK, Europe via Amazon/Walmart/Target)","Wrist BP monitors, massage devices, wellness products, home health","Wrist and upper-arm BP monitors with adjustable cuffs for episodic measurement. Not a dedicated medical wearable; primarily wellness/lifestyle brand.","2","Private (FKA Brands). Estimated $100-500M revenue across all brands. HoMedics is the flagship brand. No public funding data. Mature private company, no VC rounds.","2","https://www.homedics.com","D2C","HoMedics — The Well blog — Sep 2025 — Homedics.com — https://www.homedics.com/blogs/the-well","1","5","Filter VERIFIED: Private (mature, >$100M revenue). Global sales confirmed (US, UK sites, Amazon global). Not on exclusion list. Budget price positioning ($29.99 wrist BP) suggests low margins. Strong US retail distribution (Walmart, Target). Wellness brand more than medical brand — accuracy concerns particularly acute at this price tier."
"25","FORA Care / TaiDoc Technology","Taiwan","Global (Europe primary revenue source; also Americas, Middle East, Asia)","Wrist BP monitors, blood glucose meters, chronic disease management, telehealth","OEM/ODM manufacturer of traditional cuff-based BP monitors. Offers wearable Bluetooth thermometer but no wrist-worn BP wearable.","2","TWD 4,640.74M (~$140M USD) revenue FY2024. Net income TWD 1,158.77M (25% net margin — very profitable). Public company, no funding rounds. Revenue peaked at TWD 9.6B in 2022 (COVID demand), declining since.","2","https://www.taidoc.com","B2B","TaiDoc wearable thermometer TD-1035 — TaiDoc.com — https://taidoc.com/md-wearable-bluetooth-thermometer-td-1035/","2","6","Filter VERIFIED: Public (4736.TW). Global sales confirmed (Europe primary). Not on exclusion list. Interesting: very high net margin (25%) despite revenue decline from COVID peak. FORA Care Inc. (US subsidiary) handles Western distribution. Integrated chronic-care approach (BP + glucose) is strategically valuable but wrist BP undermines clinical credibility."
"26","Geratherm Medical","Germany","Wrist blood pressure monitors, clinical thermometers, medical devices","Consumer medical devices + professional medical technology","Wrist BP monitors with standard inflatable cuffs for episodic measurement. Not a continuous wrist wearable.","2","PUBLIC (Frankfurt GME.DE). FY2024 revenue ~EUR 22M ($21.6M per PitchBook). 1H 2025 revenue EUR 8.0M. Small-cap micro company.","2","https://www.geratherm.com","B2B","Geratherm Medical AG acquires 27.5% stake in oooxygen Health GmbH — Geratherm News — Jan 14, 2026 — https://www.geratherm.com/news","2","6","FILTER PASS: Public company (Frankfurt GME.DE, Xetra). Very small public company (~EUR 22M revenue). Announced segment change from Scale to Open Market Basic Board in April 2026. Consumer products (thermometers, BP monitors) are largest division. Recently diversifying through acquisitions (oooxygen Health Jan 2026)."
"27","Terraillon","France","France + EU (French brand with international distribution)","Wrist BP + connected health devices (scales, sleep sensors, thermometers)","No wrist-worn wearable or blood pressure monitor. Products focus on weight management (scales), not cardiovascular monitoring.","1","PRIVATE French company, founded 1908. Acquired by Fook Tin Technologies (Hong Kong private) in 2002. Revenue: ~$16.4M (RocketReach), 39 employees. Capital social: €3.2M. NO evidence of Series B+ funding. Company is a legacy consumer brand, not VC-backed.","2","https://www.terraillon.com","D2C","Terraillon becomes official partner of Cross Le Figaro — Terraillon Press — Nov 2025 — https://www.terraillon.com/en/blogs/presse","2","5","FILTER FAIL: Private company with no Series B+ funding. Small revenue ($16.4M). Legacy French consumer brand (116 years old) owned by Hong Kong private group. Connected health positioning is interesting but company is too small. Tensio Poignet wrist BP with MyHealth app is their connected play. Cross Le Figaro partnership shows brand activation."
"28","YHE / BP Doctor","China","Global market","Wrist BP Monitor (inflatable cuff smartwatch)","Smartwatch with patented dual inflatable cuff design for medical-grade BP measurement. Cuffs must be positioned directly over the radial artery; incorrect positioning or improper fit directly affects accuracy.","3","No VC funding raised (Tracxn confirms). Crowdfunding only (~HK$199K). Source: https://tracxn.com/d/companies/yhe-technology/__n26OHMiWbO0xPLRNnGtdtgr2KLc3XtFaTwbgS9FRVLQ","1","https://www.yhetechs.com","Both (D2C + B2B)","YHE Leads Market of BP Smartwatch with BP Doctor MED — Portland News — https://www.portlandnews.net/news/271952822/yhe-leads-market-of-bp-smartwatch-with-bp-doctor-med","2","6","FILTER FAILED: No VC funding (crowdfunding only). Series A and below. Exclude."
"29","LiveMetric","US","Global market","Wrist BP Monitor (cuffless continuous, nano-sensor)","LiveOne wrist-worn cuffless continuous BP monitor using nano-sensor technology tracking radial artery every 10 seconds. No cuff inflation needed; passive 24/7 wear with watch-like form factor.","1","Venture-backed (PitchBook profile). Specific round/amount unclear. FDA 510(k) cleared. Needs verification. Source: https://pitchbook.com/profiles/company/268593-67","1","https://livemetric.com","B2B","LiveMetric launches wearable blood pressure monitoring device LiveOne — NS Medical Devices — https://www.nsmedicaldevices.com/company-news/livemetric-launches-wearable-blood-pressure-monitoring-device-liveone/","2","4","FILTER EDGE CASE: Needs verification: funding stage unclear. FDA cleared but limited public funding data. Flag as 'Needs verification' for Series B status."
"30","CardiacSense","Israel","Global market","Medical Watch (ECG, PPG, SpO₂, BP, arrhythmia)","CS WATCH medical-grade wristwatch uses optical PPG sensors with an adjustable band for continuous beat-by-beat heart rate monitoring. Does not measure BP. Snug consistent contact needed for accurate PPG.","2","Total raised ~$24.4M. Recent round ~$1-5M. Valuation dropped 85%. Source: https://techtime.news/2025/07/04/cardiacsense/","1","https://cardiacsense.com","B2B","Garmin, Coros Settle CardiacSense Patent War Over Smartwatch Heart Tech — The5KRunner — Nov 13, 2025 — https://the5krunner.com/2025/11/13/garmin-coros-cardiacsense-patent-settlement-smartwatch-heart-tech/","2","5","FILTER EDGE CASE: Early stage. Recent round only $1-5M, valuation down 85%. Likely Series A equivalent. Exclude."
"31","Valencell","US","Global market","Wrist Biometric Sensor Tech (OEM/licensing for BP)","Develops and licenses biometric sensor tech (PerformTek) to OEMs. No end-user devices; provides sensor modules and reference designs. Cuff sizing not applicable.","1","Series C ~$7M+. Total raised ~$13M+ (since 2006). Revenue est. <$10M. Source: https://www.newsobserver.com/news/business/article10334444.html","1","https://valencell.com","B2B","Valencell raises $10.5M in Series E funding led by Sonion — Biometric Update — https://www.biometricupdate.com/tag/valencell","2","4","Passed (borderline). Series C technically passes but small rounds. OEM model means they license tech, not sell devices directly. Unique B2B play."
"32","Citizen Systems Japan (Citizen Watch subsidiary)","Japan","Global (Japan, Asia, worldwide via Citizen Watch distribution in 140+ countries)","Wrist BP monitors, thermometers, body composition monitors, healthcare devices","Arm and wrist BP monitors with traditional inflatable cuffs for episodic measurement. Products are B2B/healthcare channel focused.","2","Subsidiary of Citizen Watch (TYO:7762, ~$2.5B annual revenue). CSJ individual revenue undisclosed but modest — healthcare is a small segment vs. watches/printers. No independent funding.","2","https://csj.citizen.co.jp/en","B2B","Citizen Launches Two Entry Models of Arm and Wrist Blood Pressure Monitors with Bluetooth Functionality — Citizen Systems Japan PR — May 12, 2026 — https://csj.citizen.co.jp/en/news","1","5","Filter VERIFIED: Subsidiary of public company (TSE:7762). Global sales via Citizen's 140-country network. Not on exclusion list. Healthcare is a minor segment for Citizen Watch (watches & printers dominate). Wrist BP devices are legacy products with minimal innovation investment. Low independent visibility."
"33","Transtek Medical / Lifesense","China","Global (China, Europe, Americas, Asia — OEM/ODM for international brands + own Lifesense brand)","Wrist BP monitors, RPM, medical wearables, smart scales, hearing aids","OEM/ODM manufacturer of connected medical devices using standard cuffs. No dedicated wrist-worn wearable. Focus on RPM and CCM connectivity.","2","RMB 984M (~$135M USD) revenue FY2024 (+11.28% YoY). Net profit RMB 61.36M (+78.55% YoY). Public company on SZSE. IPO'd November 2016.","2","https://www.transtekcorp.com","B2B","From RPM to RTM Connected Care Is Expanding — Digital Journal — https://www.digitaljournal.com/pr/news/pr-zen/rpm-rtm-connected-care-expanding-1360645505.html","1","5","Filter VERIFIED: Public (300562.SZ). Global sales confirmed (OEM/ODM for international brands + FDA-cleared devices). Not on exclusion list. Key insight: Transtek is the MANUFACTURER behind many Western brands' wrist BP monitors — the OEM supply chain choke point. Understanding their design decisions reveals systemic wrist-BP accuracy issues across the industry. Strong growth trajectory."
"34","Sejoy Biomedical","China","Wrist blood pressure monitors, blood glucose meters, uric acid meters, hemoglobin meters","Home-care in-vitro diagnostic and monitoring devices","OEM/ODM manufacturer of home-care diagnostic products (blood glucose, hemoglobin, fertility). Does not manufacture wrist-worn BP monitors.","2","Private, no known VC funding. Alibaba profile lists annual revenue ~$13.3M. Founded 2002. ODM/OEM manufacturer with own DTC brand.","2","https://www.sejoy.com","B2B","Sejoy at MEDICA 2025 — Sejoy News — Nov 18, 2025 — https://www.sejoy.com/news/medica-2025-live-from-four-in-one-multi-functional-monitor-to-womens-health-black-technology-sejoy-ignites-the-global-medical-technology-feast-with-innovation/","1","5","FILTER FAIL: Private company with no known VC funding (not Series B+). Founded 2002 in Hangzhou. Primarily ODM/OEM manufacturer of IVD products (COVID-19 tests, blood glucose, etc.). Wrist BP is one of many product lines. DTC brand 'Sejoy' on Amazon with mixed reviews. 20+ years in manufacturing, but limited brand value or innovation differentiation."
"35","Kinetik Wellbeing","United Kingdom","UK + international (New Zealand via St John Ambulance partnership, select EU markets)","Wrist BP monitors + home health devices (thermometers, oximeters, blood glucose)","Universal wrist cuff (13.5–21.5 cm) — one-size-fits-most design for traditional BP measurement.","1","PRIVATE UK company, founded 2006. 11-50 employees (LinkedIn). NO evidence of Series A/B/C funding on Crunchbase, CB Insights, or other platforms. Revenue not publicly disclosed; estimated <£10M based on company size. NHS supplier and Boots/Argos retail presence suggests moderate revenue but well below $100M threshold.","1","https://kinetikwellbeing.com","Both (D2C + B2B)","Self-help health market hits one million product sales for Kinetik Wellbeing — EMR Industry — https://www.emrindustry.com/self-help-health-market-hits-one-million-product-sales-for-kinetik-wellbeing/","2","4","FILTER FAIL: Private company with no evidence of Series B+ funding. Small UK company (11-50 employees). NHS partnership and 'Which? Best Buy' award give some trade media credibility. Wrist-cuff all-in-one design is innovative but company is too small for B2B enterprise consideration. Include for completeness."
