"#","Company name","HQ country","Market","Segment","Why wrist = must","Pain Score","Funding / revenue","Funding score","Website","E-com type","Last media mention = title + source link with anchor","Coverage score","Priority score","Notes / flags"
"38","Greater Goods","USA","Connected wrist BP + upper arm BP monitors (Bluetooth/app), consumer health devices","Connected Wrist Blood Pressure Monitor","Wide-Range Cuff (8.7–16.5 in) with two size options. Wrong size affects reading accuracy.","2","Est. ~$5.6M annual revenue; ~56–60 employees. Privately held, bootstrapped. No VC funding found.","1","https://www.greatergoods.com","Both (D2C + B2B)","The 3 Best Blood Pressure Monitors for Home Use in 2026 — NYTimes Wirecutter — https://www.nytimes.com/wirecutter/reviews/best-blood-pressure-monitors-for-home-use/","2","5","FILTER FAIL: Private US company, not public, no Series B+. Bootstrapped. Strong consumer product reviews (Wirecutter 5x picks including 2026) but no institutional business/financial media coverage (no WSJ/Bloomberg/TC/Reuters). Wirecutter is trade/consumer review, not financial press."
"49","Scala Electronic GmbH","Germany","Wrist BP monitors + thermometers, home diagnostic devices","Wrist Blood Pressure Monitor","BP monitors with universal wrist/arm cuffs — one-size-fits-most design.","1","Revenue undisclosed. Small private German GmbH headquartered in Stahnsdorf. No VC funding. Estimated <$5M revenue based on company profile.","1","https://www.scala-electronic.de","B2B","No major media mention in last 6 months; company active via website at https://scala-electronic.de/","1","3","FILTER EDGE CASE: Private German GmbH, not public, no Series B+. Small niche manufacturer focused on German-speaking market. No media presence. Products listed on B2B directories only."
"50","Diagnosis S.A. (listed as 'Diagnostic S.A.')","Poland","Wrist BP monitors + medical devices, diagnostic tests, dietary supplements","Wrist Blood Pressure Monitor","BP monitors with universal cuffs — standard sizing.","1","Net sales decreased 5.75% in 2024. Total assets growth 1.13%. Share capital: 603,000 PLN (~$150K). Small private Polish joint-stock company (SA). ~11-50 employees. Revenue estimated <$5M.","1","https://www.diagnosis.pl","B2B","Good investor instead of a credit — Diagnosis S.A. receives Podlaski Equity Investment Fund investment — Diagnosis Media — https://diagnosis.pl/en/media/good-investor-instead-of-a-credit","1","3","FILTER EDGE CASE: Private Polish SA (joint-stock but not publicly listed). Not Series B+. Declining sales (-5.75% in 2024). Very small capital base. NOTE: Company name is 'Diagnosis S.A.' (not 'Diagnostic S.A.' as listed in batch). Offers OEM/ODM manufacturing. No significant media coverage."
"51","Nothing Technology / CMF (CMF Watch)","UK","Global market","Smartwatch (consumer fitness/health tracking)","Optical PPG sensors for HR and SpO₂ require snug wrist contact. Loose band causes light leakage and motion artifacts. Does not measure BP.","2","Nothing raised ~$250M+ total (Series C $200M in Sep 2025 at $1.3B valuation, Series B $70M 2022, Series A $50M 2021, seed $7M). Unicorn status since 2025.","3","https://nothing.tech","D2C","Charli xcx Joins Nothing as Global Brand Ambassador and Shareholder — Hypebeast — May 12, 2026 — https://hypebeast.com/2026/5/charli-xcx-global-brand-ambassador-shareholder-nothing-announcement","2","7","FILTER EDGE CASE: consumer brand, NOT medical-grade (no FDA/MDR cert). PPG-based HR/SpO₂, step counting, sleep tracking. CMF spun off as standalone India entity Sep 2025."
"52","Apple Inc. (Apple Watch)","United States","Global market","Consumer smartwatch with FDA-cleared health features (ECG, AFib, sleep apnea, hypertension)","Optical sensor array requires secure band fit — loose bands cause sensor gap and false readings. Hypertension feature uses overnight pulse wave analysis (not cuff-based BP).","3","PUBLIC (NASDAQ:AAPL). FY2024 revenue $391B. Apple Watch cumulative revenue surpassed $100B (Counterpoint Sep 2025). Watch is part of Wearables segment (~$39B annual). Market cap >$3T.","3","https://www.apple.com/apple-watch/","B2C retail (D2C + retail stores)","Apple Watch hypertension detection feature receives FDA clearance — CNET / Newsweek — Sep 12, 2025 — https://www.cnet.com/tech/mobile/the-fda-clears-the-apple-watch-for-hypertension-alerts/","3","9","FILTER EDGE CASE: Public company (NASDAQ:AAPL). $391B revenue. FDA-cleared health features on Apple Watch (ECG, AFib history, sleep apnea, hypertension detection). Largest smartwatch maker globally by revenue. Hypertension feature uses PPG-based pulse wave analysis without inflatable cuff."
"53","Samsung Electronics (Galaxy Watch)","South Korea","Global market","Consumer smartwatch with BP monitoring (wellness, not FDA-cleared)","PPG optical sensor estimates BP after cuff calibration. Band must be snug one finger-width above wrist bone — incorrect positioning causes inaccurate readings. Not for medical use.","3","PUBLIC (KRX:005930). FY2024 consolidated revenue KRW 301T (~$210B). Device eXperience (DX) segment revenue KRW 188T (~$131B). Galaxy Watch is key wearable product. Market cap ~$280B.","3","https://www.samsung.com/us/watches/","B2C retail (D2C + retail stores)","Samsung's Blood Pressure Monitoring feature now available to U.S. users in Samsung Health — Samsung Newsroom — Apr 29, 2026 — https://news.samsung.com/us/samsung-blood-pressure-monitoring-feature-available","3","9","FILTER EDGE CASE: Public company (KRX:005930). $210B+ revenue. Galaxy Watch BP monitoring launched in US Apr 2026 (classified as wellness, not medical device, no FDA clearance). Huge global distribution reach. BP monitoring requires recalibration with traditional cuff every 28 days."
"54","Garmin Ltd.","Switzerland / US","Global market","Fitness/health smartwatches (Venu, Fenix, Forerunner series)","Wrist-based optical HR and Pulse Ox sensors require snug fit above wrist bone. Movement or loose fit causes optical noise and data gaps. Elevate V5 sensor sensitive to band tension.","3","PUBLIC (NYSE:GRMN). FY2024 revenue $6.3B (+20% YoY). Fitness segment revenue ~$1.8B. Net income $1.6B. Market cap ~$40B. 22,000+ employees.","3","https://www.garmin.com","B2C retail (D2C + retail stores)","Garmin announces record revenue and $1.6 billion operating income in 2024 — road.cc — Feb 20, 2025 — https://road.cc/content/news/garmin-announces-record-revenue-and-operating-income-2024-312711","3","9","FILTER EDGE CASE: Public company (NYSE:GRMN). $6.3B revenue. No FDA-cleared medical features (consumer fitness/wellness). Garmin Health B2B division works with clinical research. BP monitoring available via Index BPM (upper arm cuff, not wrist). Strongest in outdoor/fitness watch segment."
"55","Xiaomi Corporation","China","Global market","Smart bands (Mi Band) and smartwatches with health tracking","PPG sensors for HR, SpO₂, sleep tracking require correct band tension. Mi Band lightweight design causes frequent slippage. Loose bands cause sensor lift-off and false health trend data.","2","PUBLIC (HKEx:1810). FY2024 revenue RMB 365.9B (~$50B USD, +35% YoY). IoT & Lifestyle Products segment (includes wearables) revenue RMB 104.2B (~$14.4B). Global wearable band shipments tied with Apple for #1 in Q3 2024 (Canalys).","3","https://www.mi.com/global/wearables/","B2C retail (D2C + marketplace)","Global wearable band market: Xiaomi ties with Apple for top spot in Q3 2024 — Canalys / TelecomLead — Dec 4, 2024 — https://telecomlead.com/electronics/global-wearable-band-market-xiaomi-ties-with-apple-for-top-spot-119273","2","7","FILTER EDGE CASE: Public company (HKEx:1810). ~$50B revenue. No medical certification (consumer wellness only). Primarily basic bands (Mi Band) at low price points ($30-60). Large global volume but limited health accuracy."
"56","Zepp Health Corp. (Amazfit)","United States / China","Global market","Smartwatches with BP monitoring (Amazfit Balance, Cheetah, Falcon)","Cuffless BP monitoring via optical sensors. One-piece silicone band must fit perfectly — undersizing irritates, oversizing causes sensor drift. BP requires consistent placement at heart level.","3","PUBLIC (NYSE:ZEPP). FY2025 revenue ~$205M (Amazfit-branded products +50.9% YoY). Q4 2025 revenue $71.5M. Net loss $11M. Market cap ~$50M. Has struggled with profitability but growing revenue.","2","https://www.amazfit.com","D2C + marketplace (Amazon)","Zepp Health Corporation Reports Fourth Quarter and Full Year 2025 Unaudited Financial Results — PRNewswire — Mar 16, 2026 — https://www.prnewswire.com/news-releases/zepp-health-corporation-reports-fourth-quarter-and-full-year-2025-unaudited-financial-results-302714084.html","2","7","FILTER PASS: Public company (NYSE:ZEPP). ~$205M annual revenue. Formerly Huami. BP monitoring on select models (not FDA cleared). Strong global distribution. Small market cap but publicly traded."
"57","Oura Health (ŌURA)","Finland / US","Global market","Smart ring for health tracking (sleep, HRV, temperature, menstrual health)","Finger-based PPG sensors for HR, HRV, temperature. Ring sizing critical — wrong size causes sensor misalignment or venous congestion. Sizing kit includes 7-8 sizes per hand.","3","Series D $200M (Dec 2024) at $5.2B valuation (Fidelity, Dexcom). Series E $900M (Oct 2025) — total raised >$1.2B. Estimated $300M+ ARR (2025). Valuation ~$10B+. FDA cleared for AFib detection.","2","https://ouraring.com","D2C (own site) + retail","Oura closes $200M round, bringing its valuation to $5.2B — TechCrunch — Dec 19, 2024 — https://techcrunch.com/2024/12/19/oura-closes-200m-round-bringing-its-valuation-to-5-2b/","3","8","FILTER VERIFIED: Series D $200M, Series E $900M. $5.2B+ valuation. Smart ring (finger, not wrist) with FDA-cleared AFib detection. Partnership with Dexcom for glucose data integration. Strong D2C model. Pre-IPO rumored. Sizing kit included — ring fit is critical."
"58","WHOOP Inc.","United States","Global market","Screenless fitness band for recovery, strain, sleep monitoring","Proprietary woven band must be worn 1-2 inches above wrist bone. Too loose causes optical noise; too tight restricts blood flow and distorts HRV. Band fit is #1 data quality issue.","3","Series G $575M (Mar 2026) at $10.1B valuation. Total funding ~$979M across 8 rounds. $1.1B ARR (2025). Cash flow positive since 2025. Series F $200M (2021) at $3.6B valuation. Series E $100M (2020).","3","https://www.whoop.com","D2C subscription ($30/month)","Whoop lands $575 million as valuation jumps past $10 billion — Gadgets & Wearables / Bloomberg — Mar 31, 2026 — https://gadgetsandwearables.com/2026/03/31/whoop-fund-raising/","3","9","FILTER EDGE CASE: Series G $575M at $10.1B valuation. $1.1B ARR. No medical/BP features but strong health tracking. Screenless band. Preparing for IPO. Unique subscription model (no hardware sale). Not FDA-cleared but used in clinical research studies."
"59","AliveCor Inc. (KardiaMobile)","United States","Global market","Personal ECG devices (KardiaMobile, KardiaMobile 6L, KardiaMobile 12L)","KardiaMobile Card wrist form requires thumb contact on electrodes — fit is about electrode contact, not band size. Discontinued KardiaBand required correct wrist tension.","2","Series E $65M (2022, led by OMRON). Total raised ~$350M+. Revenue estimated $75-100M+. FDA cleared. Omron (public TYO:6645) is major investor. Profitable per CEO (2024 interview).","2","https://www.alivecor.com","D2C + B2B (pharma, enterprise)","AliveCor Closes $65 Million Series E Financing to Accelerate Growth — GS MedTech — 2022 — https://www.gsmedtech.com/GS/NewsDetails/AliveCor-Closes-US-65-Million-Financing-to-Accelerate-Growth-of-Its-Remote-Cardiology-Platform","2","6","FILTER EDGE CASE: Series E $65M, total $350M+. Not a wrist wearable per se — handheld ECG device. KardiaBand (discontinued) was Apple Watch strap. FDA cleared. Entered cardiology enterprise with Kardia 12L. Omron (public) strategic investor."
"60","DarioHealth Corp.","United States / Israel","Global (US, Israel, EU, Australia, NZ)","Digital therapeutics platform for chronic conditions (diabetes, hypertension, weight, MSK, behavioral)","Integrates with Bluetooth BP monitors (upper arm cuff), glucose meters, and scales — not a wrist wearable. BP uses standard adjustable cuff (22–42 cm), one-size-fits-most.","1","PUBLIC (NASDAQ:DRIO). FY2024 revenue $27.0M (+32.9% YoY). B2B2C revenue growing 300%+. Market cap ~$50M. Net loss narrows. Raised $25.6M in 2024. Public since 2021 via SPAC.","2","https://www.dariohealth.com","B2B2C (employers, health plans)","DarioHealth Reports Fourth Quarter and Full Year 2024 Financial Results — PRNewswire — Mar 10, 2025 — https://www.prnewswire.com/news-releases/dariohealth-reports-fourth-quarter-and-full-year-2024-financial-and-operating-results-302396845.html","2","5","FILTER PASS: Public (NASDAQ:DRIO). $27M revenue. Digital health platform. No wrist wearable — integrates with existing BP cuffs and glucose monitors. Small cap but public. Worth including as digital health platform with wearable integration."
"61","Dexcom Inc.","United States","Global market","Continuous glucose monitor (CGM) — G7 wearable sensor","CGM sensor worn on upper arm or abdomen — not wrist-worn. Invested $75M in Oura for glucose-ring integration. No wrist product.","1","PUBLIC (NASDAQ:DXCM). FY2024 revenue $4.5B (+8% YoY). Net income ~$700M. Market cap ~$40B. G7 is fastest-growing product. 40M+ users globally. CGM market leader with Abbott.","3","https://www.dexcom.com","B2B (pharmacy, DME) + D2C","Dexcom Reports Fourth Quarter and Fiscal Year 2024 Financial Results — Dexcom Investor Relations — Feb 13, 2025 — https://investors.dexcom.com/news/news-details/2025/Dexcom-Reports-Fourth-Quarter-and-Fiscal-Year-2024-Financial-Results/","3","7","FILTER PASS: Public (NASDAQ:DXCM). $4.5B revenue. CGM wearable (upper arm, not wrist). Strategic investment in Oura ($75M for glucose-ring integration). No wrist-worn product. Important as wearable health sensor giant partnering with wrist wearables."
"62","Abbott Laboratories (FreeStyle Libre)","United States","Global market","CGM (FreeStyle Libre, Libre Rio, Lingo) — wearable biosensor","CGM sensor worn on upper arm — not wrist-worn. CGM data increasingly integrated into wrist wearables (Apple Watch, Garmin, Oura). No wrist product.","1","PUBLIC (NYSE:ABT). FY2024 revenue $41.4B. Diabetes Care segment grew ~20% organic. FreeStyle Libre ~$6B+ annual revenue. Market cap ~$200B. 114,000+ employees.","3","https://www.abbott.com","B2B (pharmacy, DME) + D2C","Abbott posts 2024 medical device sales gains following structural heart, CGM launches — FierceBiotech — Jan 22, 2025 — https://www.fiercebiotech.com/medtech/abbott-posts-2024-medical-device-sales-gains-following-structural-heart-cgm-launches","3","7","FILTER PASS: Public (NYSE:ABT). $41.4B revenue. CGM leader (upper arm sensor). No wrist product. OTC Lingo CGM (non-prescription) launched 2024. Libre Rio for Type 2 non-insulin users. Key wearable data source for wrist health platforms."
"63","Medtronic plc","Ireland / US","Global market","Medical device company with acute care monitoring wearables","Acute Care & Monitoring portfolio includes wearable monitors. Corsano CardioWatch distribution deal adds wrist monitoring. Zephyr uses chest strap. No direct wrist BP product.","2","PUBLIC (NYSE:MDT). FY2025 revenue $33.5B. ACM segment ~$1.5B (flat YoY). Market cap ~$110B. 95,000+ employees. Largest pure-play medical device company globally.","3","https://www.medtronic.com","B2B (hospitals, clinics)","Medtronic expands Acute Care & Monitoring wearables portfolio with distribution agreement for Corsano multi-parameter wearable — Medtronic News — Jun 4, 2026 — https://news.medtronic.com/Medtronic-expands-its-Acute-Care-Monitoring-wearables-portfolio-in-the-U-S-with-a-new-distribution-agreement-for-the-Corsano-TM-multi-parameter-wearable","2","7","FILTER PASS: Public (NYSE:MDT). $33.5B revenue. ACM division distributing Corsano wrist wearable. No own-brand wrist product. Major B2B hospital player expanding into wearables. Partnership strategy for wrist-worn monitoring."
"64","Koninklijke Philips N.V.","Netherlands","Global market","Health technology company with patient monitoring wearables","Wearable biosensor is patch-based (chest/arm), not wrist-worn. Measures ECG, HR, respiratory rate, temperature. No wrist device.","1","PUBLIC (AMS:PHIA). FY2024 revenue EUR 18.0B (~$19.5B). Connected Care segment (includes monitoring) EUR 5.4B. Market cap ~EUR 28B. 67,800 employees. Global operations in 100+ countries.","3","https://www.philips.com/healthcare","B2B (hospitals, clinics)","Philips publishes its Annual Report 2024 — Nasdaq — Feb 21, 2025 — https://www.nasdaq.com/press-release/philips-publishes-its-annual-report-2024-2025-02-21","3","7","FILTER PASS: Public (AMS:PHIA). EUR 18B revenue. Wearable biosensor (patch form factor). No wrist-worn product. Major hospital monitoring player. Connected Care strategy includes RPM and home monitoring."
"65","GE HealthCare Technologies","United States","Global market","Medical technology with patient monitoring (wearable and bedside)","Patient Care Solutions includes wearable and mobile monitors including patches for cardiac telemetry. No dedicated wrist-worn consumer device.","1","PUBLIC (NASDAQ:GEHC). FY2024 revenue $19.7B. Patient Care Solutions (PCS) segment ~$5B+. Market cap ~$40B. 51,000+ employees. Spun off from GE in 2023.","3","https://www.gehealthcare.com","B2B (hospitals, clinics)","GE HealthCare reports fourth quarter and full year 2024 financial results — GE HealthCare Investor Relations — Feb 13, 2025 — https://investor.gehealthcare.com/news-releases/news-release-details/ge-healthcare-reports-fourth-quarter-and-full-year-2024","3","7","FILTER PASS: Public (NASDAQ:GEHC). $19.7B revenue. Patient monitoring includes wearable telemetry. No consumer wrist device. Hospital-grade wearable monitors. B2B only."
"66","BioIntelliSense Inc.","United States","Global market","Medical-grade wearable (BioButton) for continuous vital sign monitoring","BioButton adhesive patch worn on upper left chest — not wrist-worn. Monitors skin temperature, respiratory rate, HR, posture. No wrist product or BP measurement.","1","Series B $45M. Total funding ~$90M+. Valuation ~$350M. Revenue not disclosed (private). FDA cleared. 89 employees. Founded 2019. Investors include Dexcom Ventures, Fresenius Medical Care Ventures.","2","https://www.biointellisense.com","B2B (hospitals, health systems)","BioIntelliSense Closes Oversubscribed $45M Series B Financing Round — PRNewswire — Jul 28, 2021 — https://www.prnewswire.com/news-releases/biointellisense-closes-oversubscribed-45m-series-b-financing-round-to-scale-its-data-as-a-service-and-clinical-intelligence-platform-301342742.html","2","5","FILTER VERIFIED: Series B $45M, total $90M+. FDA-cleared wearable patch (not wrist). Chest-mounted BioButton. Partnership with iRhythm for pulse oximetry license. Strong RPM play but no wrist-wearable product."
"67","VitalConnect Inc.","United States","Global market","Wearable biosensor patch (VitalPatch) for ambulatory cardiac monitoring","VitalPatch adhesive chest/upper-arm patch for ECG, HR, RR, temperature — not wrist-worn. No wrist product or BP measurement.","1","$100M financing (Feb 2025, equity + debt). Total raised ~$193.3M across 4 rounds. Revenue not disclosed. FDA cleared. Series D equivalent. Investors: Ally Bridge Group, EW Healthcare Partners, MVM Life Science Partners.","2","https://vitalconnect.com","B2B (hospitals, RPM)","VitalConnect Secures $100 Million in Financing — VitalConnect Press — Feb 19, 2025 — https://vitalconnect.com/vitalconnect-secures-100m-financing/","2","5","FILTER VERIFIED: $100M financing, total $193M+. Wearable patch (chest/upper arm). No wrist product. FDA cleared for cardiac monitoring. Strong hospital RPM presence. Series D stage private company."
"68","iRhythm Technologies Inc.","United States","Global market","Wearable ECG patch (Zio) for ambulatory cardiac monitoring","Zio patch is chest-worn adhesive monitor for up to 14 days continuous ECG — not wrist-worn. Most prescribed ambulatory cardiac monitor in US. No BP measurement.","1","PUBLIC (NASDAQ:IRTC). FY2024 revenue ~$531M (+14.5% YoY). Q1 2024 revenue $131.5M. Market cap ~$5B. Zio has monitored 5M+ patients. #89 in Medtech Big 100. FDA cleared.","3","https://www.irhythmtech.com","B2B (physicians, hospitals)","iRhythm Technologies Announces Fourth Quarter and Full Year 2024 Financial Results — Nasdaq — Feb 20, 2025 — https://www.nasdaq.com/press-release/irhythm-technologies-announces-fourth-quarter-and-full-year-2024-financial-results","2","6","FILTER PASS: Public (NASDAQ:IRTC). ~$531M revenue. Zio patch (chest-worn ECG, not wrist). Most prescribed ambulatory cardiac monitor in US. No BP measurement. Licensed BioIntelliSense pulse oximetry tech (2024). B2B only."
